a1X,a1Y,a1Z,g1X,g1Y,g1Z,a2X,a2Y,a2Z,g2X,g2Y,g2Z
-1.007,-0.154,-1.709,194.458,-55.908,-117.432,9.00,15.84,10.40,1.84,-0.87,-0.99
-1.254,0.370,0.199,-106.079,9.705,3.052,8.60,11.41,5.59,1.30,-0.67,-0.45
-1.028,-0.121,-0.284,-59.021,3.235,4.456,6.71,11.17,4.73,1.24,-0.23,-0.31
-1.001,-0.160,-0.156,-24.231,-7.141,26.428,5.70,10.28,4.88,1.14,-0.13,-0.15
-0.797,-0.598,-0.393,21.484,-3.296,29.968,5.60,9.13,5.24,0.82,-0.14,-0.16
-0.887,-0.433,-0.290,27.588,7.202,23.376,5.63,8.62,5.28,0.49,-0.14,-0.19
-0.932,-0.369,-0.282,24.841,5.920,12.146,5.52,8.53,4.87,0.22,-0.23,-0.21
-0.916,-0.497,-0.326,2.319,9.155,15.259,5.70,8.34,4.52,0.04,-0.21,-0.17
-0.988,-0.309,-0.387,-15.259,5.188,18.311,6.00,8.41,4.37,-0.07,-0.21,-0.14
-0.982,-0.374,-0.344,-4.272,6.042,26.855,6.15,8.40,4.42,-0.18,-0.10,-0.02
-0.999,-0.397,-0.319,0.732,5.432,33.020,6.04,8.56,4.53,-0.30,-0.01,0.15
-1.055,-0.525,-0.258,9.705,-1.526,30.579,5.84,8.71,4.67,-0.39,0.02,0.28
-1.088,-0.542,-0.234,8.728,-1.709,31.372,5.58,8.92,4.79,-0.44,0.06,0.14
-0.975,-0.443,-0.225,-1.587,11.597,29.419,5.34,8.81,4.80,-0.53,0.05,0.07
-0.942,-0.459,-0.225,-0.183,13.611,29.968,5.19,8.64,4.73,-0.62,0.01,0.05
-0.841,-0.394,-0.265,-2.808,14.160,30.884,5.14,8.35,4.59,-0.67,-0.02,0.03
-0.750,-0.396,-0.302,-1.465,12.451,28.259,5.25,7.74,4.45,-0.66,-0.03,0.01
-0.725,-0.415,-0.301,-2.747,4.211,20.447,5.35,7.18,4.36,-0.56,0.01,-0.01
-0.743,-0.404,-0.278,-5.676,1.770,15.320,5.33,7.01,4.37,-0.47,0.10,-0.04
-0.754,-0.413,-0.274,-4.272,-2.930,11.658,5.31,6.89,4.46,-0.43,0.25,-0.05
-0.788,-0.439,-0.270,-1.953,-5.615,11.597,5.24,6.92,4.59,-0.43,0.34,0.02
-0.881,-0.428,-0.218,-0.671,-6.592,11.414,5.10,7.12,4.71,-0.45,0.32,0.07
-0.903,-0.444,-0.237,0.488,-4.150,10.071,4.94,7.26,4.73,-0.45,0.27,0.08
-0.936,-0.514,-0.264,0.488,0.916,5.005,4.96,7.42,4.86,-0.40,0.22,0.04
-0.940,-0.513,-0.280,-2.075,2.380,3.723,5.12,7.68,5.05,-0.34,0.18,-0.02
-0.926,-0.495,-0.281,-4.700,1.587,5.188,5.28,7.85,5.22,-0.33,0.18,-0.08
-0.904,-0.480,-0.271,-4.639,0.854,7.935,5.33,7.89,5.29,-0.36,0.26,-0.10
-0.871,-0.438,-0.231,-2.136,-1.221,12.573,5.21,7.88,5.21,-0.42,0.23,-0.07
-0.863,-0.427,-0.228,-1.282,-1.099,12.695,5.09,7.69,5.10,-0.47,0.21,-0.12
-0.822,-0.442,-0.256,-0.977,1.526,8.850,4.99,7.46,5.01,-0.49,0.18,-0.11
-0.813,-0.440,-0.258,-2.197,2.136,5.188,4.92,7.26,4.92,-0.46,0.10,-0.11
