timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1309055,-0.67,-0.61,0.29,46.81,2.50,-26.12
1309064,-0.70,-0.66,0.22,49.62,13.18,-25.63
1309072,-0.71,-0.61,0.19,48.03,21.79,-25.45
1309081,-0.77,-0.57,0.30,40.28,29.48,-22.64
1309089,-0.79,-0.71,0.37,39.98,26.31,-14.89
1309098,-0.78,-0.78,0.20,37.11,11.66,-9.95
1309106,-0.72,-0.76,0.06,29.72,-0.85,-8.67
1309115,-0.76,-0.75,-0.21,21.97,-9.70,-6.53
1309124,-0.76,-0.73,-0.30,14.04,-7.63,-5.74
1309132,-0.79,-0.59,-0.34,0.61,-2.14,-5.74
1309141,-0.83,-0.45,-0.48,-10.74,4.09,-3.11
1309149,-1.01,-0.42,-0.37,-23.80,13.37,2.44
1309158,-0.95,-0.36,-0.26,-28.99,20.45,7.02
1309166,-1.01,-0.27,-0.22,-42.79,17.03,10.86
1309175,-1.06,-0.13,-0.03,-55.66,13.98,18.19
1309184,-1.05,-0.20,0.23,-60.06,6.96,29.72
1309192,-1.07,-0.24,0.42,-55.24,-10.44,37.90
1309200,-1.04,-0.32,0.31,-49.44,-37.05,42.60
1309209,-0.99,-0.37,0.11,-45.41,-57.80,41.93
1309218,-0.95,-0.27,-0.02,-47.67,-60.79,36.44
1309226,-0.99,-0.27,-0.07,-54.26,-44.43,31.68
1309235,-1.04,-0.27,0.15,-52.92,-21.97,27.77
1309244,-1.03,-0.30,0.34,-44.31,-5.68,22.71
1309252,-1.04,-0.32,0.56,-37.29,-1.04,16.54
1309261,-1.06,-0.38,0.74,-29.24,-5.13,8.30
1309269,-1.04,-0.28,0.69,-18.43,-17.03,-1.53
1309277,-0.98,-0.32,0.68,-9.64,-27.83,-8.48
1309286,-0.92,-0.28,0.59,-0.79,-33.39,-14.16
1309295,-0.88,-0.38,0.60,3.72,-34.18,-16.85
1309303,-0.82,-0.57,0.60,19.35,-31.98,-21.12
1309312,-0.72,-0.52,0.52,32.10,-28.99,-31.19
1309321,-0.69,-0.42,0.42,32.90,-23.19,-38.02
1309329,-0.68,-0.47,0.38,32.23,-13.61,-35.71
1309338,-0.65,-0.51,0.40,37.29,-4.46,-29.60
1309346,-0.66,-0.55,0.40,37.60,-1.04,-21.91
1309355,-0.66,-0.74,0.37,42.54,-1.46,-12.70
1309363,-0.63,-0.80,0.34,47.42,-3.42,-8.42
1309372,-0.63,-0.77,0.22,45.65,-5.62,-6.35
1309380,-0.62,-0.79,0.10,44.86,-5.37,-1.89
1309389,-0.66,-0.80,0.02,44.62,0.67,1.04
1309398,-0.66,-0.82,-0.08,47.30,10.31,2.81
1309406,-0.67,-0.79,-0.22,43.40,23.38,2.50
1309415,-0.65,-0.70,-0.25,33.33,38.70,2.93
1309423,-0.58,-0.69,-0.25,19.65,52.80,6.04
1309432,-0.76,-0.62,-0.00,1.83,65.37,10.56
1309440,-0.76,-0.67,0.06,-0.12,72.08,15.69
1309449,-0.81,-0.65,0.17,-0.55,68.42,18.25
1309458,-0.89,-0.68,0.20,-0.37,59.27,20.45
1309466,-0.77,-0.57,0.16,-2.44,45.23,20.63
1309475,-0.73,-0.45,0.01,-16.11,31.07,26.25
1309483,-0.75,-0.53,-0.04,-20.02,21.42,39.06
1309492,-0.89,-0.56,-0.16,-21.24,13.61,48.71
1309501,-0.84,-0.57,-0.10,-30.03,8.18,53.71
1309509,-1.00,-0.70,-0.15,-37.54,1.83,54.20
1309517,-0.99,-0.58,-0.11,-41.81,-7.39,49.99
1309526,-1.04,-0.54,-0.18,-58.90,-18.43,46.81
1309534,-1.08,-0.49,-0.11,-66.16,-28.20,46.26
1309543,-1.07,-0.47,0.00,-70.01,-39.49,47.06
1309552,-1.03,-0.50,0.08,-68.79,-47.79,44.56
1309560,-1.07,-0.50,0.03,-63.78,-54.02,37.78
1309569,-1.06,-0.50,0.11,-56.82,-49.01,25.76
1309577,-1.12,-0.48,0.14,-49.19,-37.96,10.56
1309586,-1.14,-0.35,0.17,-47.42,-28.69,-3.97
1309594,-1.13,-0.26,0.38,-47.97,-19.84,-13.92
1309603,-1.11,-0.25,0.58,-41.81,-17.15,-19.84
1309612,-1.09,-0.26,0.67,-29.91,-25.88,-24.29
1309620,-1.03,-0.20,0.63,-19.96,-42.18,-28.44
1309629,-1.04,-0.20,0.48,-14.89,-56.15,-30.03
1309637,-0.91,-0.20,0.46,-10.44,-60.24,-30.09
1309646,-0.91,-0.27,0.34,-4.64,-59.63,-30.09
1309654,-0.83,-0.28,0.29,2.14,-50.29,-32.59
1309663,-0.80,-0.34,0.35,7.14,-34.12,-35.89
1309672,-0.78,-0.45,0.43,18.49,-15.93,-40.71
1309680,-0.77,-0.44,0.55,27.16,-1.71,-47.61
1309689,-0.79,-0.45,0.58,36.32,8.30,-52.37
1309697,-0.82,-0.45,0.60,48.46,15.69,-54.50
1309706,-0.79,-0.54,0.63,57.56,21.97,-54.69
1309714,-0.77,-0.58,0.55,64.21,26.43,-56.82
1309723,-0.68,-0.57,0.41,65.80,27.22,-58.59
1309732,-0.67,-0.47,0.36,63.90,31.19,-57.13
1309740,-0.64,-0.50,0.33,62.62,34.61,-47.18
1309749,-0.65,-0.62,0.31,70.62,36.68,-34.18
1309757,-0.63,-0.68,0.22,74.58,39.49,-23.25
1309766,-0.60,-0.76,0.13,74.65,45.10,-15.20
1309774,-0.63,-0.69,0.07,70.80,51.15,-8.54
1309783,-0.65,-0.75,0.13,60.24,53.59,-0.49
1309792,-0.70,-0.75,0.12,47.73,45.84,7.45
1309800,-0.69,-0.81,0.07,37.84,33.57,14.53
1309809,-0.73,-0.77,-0.08,26.18,19.10,19.35
1309817,-0.70,-0.73,-0.34,11.11,9.70,23.01
1309825,-0.70,-0.75,-0.46,-5.37,10.68,26.67
1309834,-0.76,-0.62,-0.52,-25.63,20.32,30.52
1309843,-0.75,-0.68,-0.47,-43.21,34.67,37.54
1309852,-0.84,-0.65,-0.39,-52.67,44.19,40.77
1309860,-0.85,-0.58,-0.27,-65.61,47.85,42.24
1309869,-0.92,-0.49,-0.16,-81.36,45.53,44.68
1309877,-0.96,-0.44,0.01,-96.07,35.28,49.99
1309886,-1.00,-0.34,0.07,-104.37,17.46,55.42
1309894,-1.06,-0.26,0.08,-109.31,-3.72,63.60
1309903,-1.08,-0.32,0.05,-102.05,-24.54,73.12
1309911,-1.08,-0.38,0.04,-92.65,-38.57,77.27
1309920,-1.11,-0.38,-0.06,-85.33,-49.01,77.64
