timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
427889,-0.50,-0.88,-0.17,-22.28,124.88,177.73
427897,-0.65,-1.27,0.07,-34.24,109.99,159.79
427906,-0.77,-1.34,0.16,-45.10,78.37,122.31
427914,-0.85,-1.23,0.28,-69.52,36.32,79.71
427923,-0.93,-0.69,0.23,-88.56,-6.47,45.04
427931,-0.93,-0.57,0.08,-108.15,-36.74,32.04
427940,-0.84,-0.47,0.04,-99.49,-50.66,28.63
427948,-0.98,-0.42,-0.09,-85.02,-52.00,26.31
427957,-1.17,-0.30,0.19,-78.74,-39.49,24.66
427965,-1.11,-0.45,0.48,-62.07,-27.53,26.67
427974,-1.01,-0.67,0.56,-41.99,-31.92,25.27
427983,-0.99,-0.81,0.59,-31.86,-51.76,14.71
427992,-1.00,-0.98,0.43,-20.14,-76.29,-2.62
428000,-0.99,-0.95,0.32,-6.41,-95.76,-25.45
428008,-0.83,-1.27,0.09,6.77,-113.59,-50.54
428017,-0.85,-1.10,-0.32,18.31,-131.04,-84.35
428025,-0.77,-0.79,-0.37,10.31,-126.95,-112.12
428034,-0.81,-0.34,-0.64,11.84,-112.67,-123.11
428043,-0.77,-0.25,-0.56,10.74,-82.03,-113.40
428051,-0.75,-0.35,-0.38,26.25,-48.46,-94.73
428060,-0.85,-0.46,-0.23,43.40,-25.63,-79.77
428069,-0.90,-0.66,-0.07,62.32,-15.32,-72.08
428077,-0.78,-0.91,0.01,83.92,-10.31,-76.66
428085,-0.71,-0.90,-0.04,98.14,-10.80,-93.69
428094,-0.56,-0.18,-0.25,97.84,-10.07,-112.24
428103,-0.85,0.66,-0.42,51.09,-6.53,-101.81
428111,-0.93,0.17,-0.69,61.71,-4.82,-48.52
428120,-0.88,-0.17,-0.83,86.12,7.81,-7.75
428128,-0.89,-0.04,-0.86,85.45,31.49,10.50
428137,-0.80,0.09,-0.91,72.94,55.05,29.24
428145,-0.67,-0.16,-0.91,61.22,79.96,55.85
428154,-0.62,-0.39,-0.42,29.17,99.00,75.50
428162,-0.68,-0.39,-0.33,12.21,96.98,83.56
428171,-0.67,-0.67,-0.16,7.26,85.88,88.01
428180,-0.70,-0.62,-0.24,3.78,68.73,82.58
428188,-0.75,-0.64,-0.30,-10.38,55.11,76.05
428197,-0.79,-0.69,-0.14,-35.34,46.57,68.30
428205,-0.81,-0.37,0.11,-47.73,34.12,58.04
428214,-0.67,-0.28,-0.10,-57.98,17.21,60.61
428222,-0.66,-0.38,-0.04,-90.82,3.42,77.09
428231,-0.84,-0.67,-0.11,-77.03,-10.50,89.42
428240,-0.89,-0.56,-0.15,-68.66,-20.51,85.63
428248,-0.80,-0.36,-0.08,-71.78,-27.47,84.53
