timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
810363,-0.93,-0.19,0.27,7.02,-20.69,-4.21
810371,-0.92,-0.18,0.28,8.3,-17.64,-4.76
810379,-0.91,-0.17,0.31,9.28,-15.26,-6.1
810388,-0.91,-0.17,0.35,15.2,-15.01,-8.06
810397,-0.9,-0.17,0.37,24.29,-17.52,-10.68
810405,-0.91,-0.17,0.36,30.7,-22.22,-12.51
810414,-0.95,-0.16,0.35,32.1,-28.32,-12.7
810422,-1,-0.17,0.3,36.13,-34.36,-11.78
810431,-1.08,-0.21,0.2,38.94,-38.09,-10.44
810440,-1.15,-0.25,0.14,39.18,-37.48,-7.69
810448,-1.14,-0.23,0.11,37.72,-32.04,-5.19
810456,-1.09,-0.18,0.1,36.38,-24.6,-4.88
810465,-1.04,-0.15,0.12,34.91,-17.21,-4.76
810474,-0.97,-0.12,0.17,24.48,-11.35,-3.11
810482,-0.96,-0.11,0.21,14.4,-7.2,-2.32
810491,-0.96,-0.1,0.26,9.89,-5.86,-2.62
810499,-1,-0.08,0.27,7.69,-7.45,-2.81
810508,-1.09,-0.1,0.25,7.45,-12.33,-3.36
810516,-1.12,-0.14,0.2,13,-16.91,-5.07
810525,-1.14,-0.16,0.15,17.94,-19.23,-6.59
810534,-1.11,-0.15,0.1,22.52,-18.55,-9.09
810542,-1.08,-0.13,0.09,28.02,-16.54,-12.08
810551,-1.06,-0.07,0.09,27.71,-14.89,-14.4
810559,-1,-0.01,0.07,28.75,-14.04,-16.05
810568,-0.94,0.04,0.05,26.43,-13.12,-15.44
810576,-0.87,0.06,0.05,20.32,-11.41,-11.78
810585,-1.16,-0.25,-0.05,5.31,-9.03,-6.65
810594,-0.97,-0.31,0.22,17.94,-12.88,-1.95
810602,-1.09,-0.44,0.22,-5.43,-14.28,3.66
810611,-1,-0.2,0.14,-29.66,-11.84,9.22
810619,-0.78,-0.12,0.09,-9.58,-6.71,6.65
810628,-0.88,0.09,0.26,-15.08,-14.1,5.49
810636,-0.89,0.07,0.25,-8.24,-39.49,-3.54
810645,-0.82,0.05,0.09,-21.42,-75.32,-7.57
810654,-0.69,0.16,-0.23,-58.9,-99.98,0.85
810662,-0.86,0.34,0.1,-166.08,-100.52,49.38
810671,-0.76,-0.12,0.22,-105.22,-83.86,81.48
810679,-0.73,-0.53,0.19,24.72,-55.42,74.04
810688,-0.82,-0.46,0.27,84.47,-34.91,56.95
810696,-0.62,-0.28,0.21,132.81,-23.44,38.57
810705,-0.52,0.03,0.19,78.31,-24.35,38.7
810713,-0.78,-0.11,0.21,10.62,-42.18,35.77
810722,-0.65,-0.31,-0.27,9.16,-53.89,26.55
810731,-0.81,-0.05,0.27,-60.36,-56.27,29.97
810739,-1.09,-0.31,-0.07,163.88,-38.76,39.61
810747,-0.78,-0.35,-0.28,325.68,12.7,38.45
810756,-0.81,-0.22,-0.48,229.61,40.47,44.56
810765,-1.4,0.21,-0.17,-111.82,64.27,55.24
810773,-1.56,0.41,-0.18,-222.53,74.22,65.19
810782,-1.58,0.41,-0.07,-320.31,86.55,75.56
810790,-1.56,0.43,-0.06,-261.72,109.13,88.75
810799,-1.21,0.1,-0.18,-156.62,132.75,102.78
810808,-0.9,-1.5,0.17,-123.11,152.83,125.79
810816,-1.37,-1.57,-0.17,128.48,167.79,109.5
810825,-0.99,0.25,0.24,-21.42,169.13,59.81
810834,-0.66,0.22,0.29,-44.8,160.89,67.69
810842,-0.62,-0.96,0.64,-53.04,144.71,90.09
810850,-0.61,-0.9,0.77,-117,114.14,70.5
810859,-0.5,-0.39,0.66,-155.09,76.35,33.39
810867,-0.29,-0.42,0.81,-197.2,40.95,19.17
810876,-0.23,-0.48,0.85,-220.46,17.76,12.63
810885,-0.61,-0.13,0.66,-213.75,-20.63,-3.72
