timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
805486,-0.88,-1.40,0.97,-137.70,-65.55,103.15
805495,-0.89,-1.31,0.90,-108.46,-83.56,70.86
805503,-0.87,-1.11,0.83,-77.45,-97.41,40.28
805512,-0.88,-0.91,0.82,-46.88,-107.12,15.32
805520,-0.89,-0.83,0.76,-15.81,-116.88,-2.62
805529,-0.86,-0.91,0.67,15.14,-125.37,-17.82
805538,-0.88,-1.04,0.50,42.97,-132.87,-35.16
805546,-0.84,-1.15,0.43,70.19,-135.68,-57.98
805555,-0.67,-1.16,0.31,94.06,-135.93,-85.94
805563,-0.66,-0.84,0.01,85.94,-140.81,-111.88
805571,-0.65,-0.67,-0.29,77.82,-137.33,-125.18
805580,-0.65,-0.67,-0.48,82.46,-117.07,-130.62
805589,-0.66,-0.67,-0.57,86.06,-85.51,-135.07
805597,-0.70,-0.63,-0.65,86.61,-47.55,-137.21
805606,-0.63,-0.59,-0.50,88.50,-7.32,-135.62
805614,-0.63,-0.49,-0.39,88.20,27.04,-130.43
805623,-0.62,-0.39,-0.27,81.97,50.96,-122.44
805631,-0.65,-0.33,-0.31,76.35,64.82,-109.86
805640,-0.64,-0.27,-0.20,69.15,73.67,-94.18
805649,-0.70,-0.22,-0.11,64.82,80.14,-76.17
805657,-0.73,-0.23,0.18,64.15,80.63,-56.09
805666,-0.75,-0.30,0.02,68.79,67.87,-37.23
805674,-0.72,-0.30,0.03,69.58,54.63,-22.03
805683,-0.73,-0.15,-0.04,60.61,47.97,-7.08
805691,-0.75,-0.02,-0.09,50.60,48.28,11.84
805700,-0.75,0.02,-0.20,46.08,51.21,36.50
805709,-0.73,-0.06,-0.19,42.24,56.40,62.93
805717,-0.71,-0.19,-0.20,28.75,62.62,85.33
805726,-0.77,-0.33,-0.19,9.77,64.94,101.93
805734,-0.76,-0.44,-0.19,-7.08,62.68,110.53
805743,-0.82,-0.49,-0.17,-26.31,57.74,113.59
805752,-0.83,-0.57,-0.21,-47.97,52.80,113.59
805760,-0.79,-0.54,-0.15,-70.86,50.11,111.27
805769,-0.80,-0.44,-0.07,-92.65,46.88,109.56
805777,-0.74,-0.31,-0.13,-115.72,39.61,110.72
805786,-0.86,-0.25,-0.16,-138.31,29.72,117.43
805794,-0.84,-0.46,-0.04,-150.39,25.76,125.55
805803,-0.78,-0.52,0.21,-161.68,22.83,129.33
