timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
13034,-0.89,0.11,-0.01,-38.27,9.89,2.56
13043,-1.18,0.19,-0.6,-84.05,-9.4,3.54
13054,-0.91,0.12,0.02,187.01,68.12,40.89
13063,-0.98,0.14,-0.01,54.93,5,2.56
13071,-0.99,0.15,0.01,20.45,-6.23,-5.68
13080,-0.99,0.19,0.04,12.57,-1.89,-1.71
13088,-0.99,0.16,0.07,4.21,0.55,2.69
13097,-0.99,0.18,0.07,0.18,0.43,4.58
13105,-0.99,0.18,0.08,-1.65,-0.31,5.86
13114,-0.99,0.17,0.07,-2.87,-1.16,7.2
13123,-0.99,0.14,0.06,-4.64,-2.56,8.3
13131,-0.99,0.11,0.03,-6.47,-3.91,8.67
13140,-1,0.09,0,-8.18,-5.07,7.87
13149,-1,0.08,-0.02,-7.93,-5,6.77
13157,-1.01,0.06,-0.04,-7.26,-4.46,4.88
13165,-1.02,0.05,-0.04,-4.7,-3.23,2.75
13174,-1.04,0.05,0.03,-2.26,-2.01,-0.12
13183,-1.05,0.03,0.1,-4.03,-1.89,-2.38
13191,-1.11,-0.05,0.06,-9.28,-3.48,-5.49
13200,-1.26,0.09,-0.31,-15.87,-4.64,-9.77
13208,-1.24,0.25,-0.33,-16.05,11.66,-5.86
13217,-1.37,-0.16,0.2,4.76,42.42,5.86
13225,-1.4,-0.29,0.42,11.47,43.09,2.93
13234,-1.33,-0.09,0.25,0.37,23.93,-15.26
13243,-1.32,-0.02,0.18,1.95,9.09,-29.97
13251,-1.33,-0.09,0.23,6.84,0.55,-39.73
13260,-1.26,-0.1,0.13,3.42,-7.81,-52.25
13268,-1.19,-0.09,-0.05,-4.7,-10.44,-67.93
13277,-1.15,-0.15,-0.11,-6.71,-3.23,-85.75
13286,-1.1,-0.12,-0.08,-12.57,8.61,-107.24
13294,-1.01,0.08,-0.06,-25.15,17.76,-124.27
13302,-0.9,0.28,-0.03,-34.3,21.12,-128.05
13311,-0.76,0.42,0.02,-35.77,21.42,-122.44
13319,-0.64,0.5,0.08,-33.75,16.91,-109.8
13328,-0.54,0.5,0.04,-31.07,9.52,-94.67
13337,-0.62,0.47,0.03,-35.77,4.03,-80.26
13345,-0.74,0.44,0.17,-55.42,2.75,-69.4
13354,-1.16,0.52,0.05,-85.14,7.87,-67.69
13363,-0.95,0.58,0.07,-84.59,16.66,-65.12
13371,-0.71,0.68,0.23,-54.26,20.81,-51.45
13380,-0.58,0.77,0.01,-34,15.44,-28.08
13388,-0.59,0.51,0.06,-21.97,9.22,1.46
13397,-0.46,0.35,-0.09,6.04,-0.43,23.99
13405,-0.5,0.1,-0.06,-0.61,-4.33,24.05
13414,-0.5,-0.07,-0.04,-17.82,-5.43,-5.31
13422,-0.33,0.05,-0.35,-49.44,-5.13,-48.52
13431,-0.25,0.1,-0.51,-84.17,6.71,-88.5
13440,-0.23,0.13,-0.44,-100.28,38.27,-134.46
13448,0.02,0.66,-0.01,-124.57,67.69,-188.66
13457,-0.13,1.71,0.75,-138,62.99,-210.88
13465,-0.58,2.37,0.82,-93.08,25.45,-179.81
13474,-0.45,1.69,0.26,-19.35,-26.12,-87.95
13482,-0.4,0.78,-0.12,-16.42,-67.99,-3.85
13491,-0.44,0.46,-0.28,-19.35,-85.45,27.16
13499,-0.63,0.33,-0.34,-6.23,-88.2,26.49
13508,-0.94,0.14,-0.24,-12.57,-83.07,15.32
13517,-1.05,-0.12,-0.23,-4.94,-62.62,-1.65
13525,-1.1,-0.17,-0.34,7.39,-33.63,-27.71
13534,-0.58,-0.77,-0.82,-4.7,-3.66,-58.04
13542,-1.3,0.61,-0.17,-169.43,20.45,-84.35
13551,-1.42,1.49,-0.5,-224.55,35.1,-104.37
13559,-1.09,1.71,-0.89,-121.46,49.93,-78.61
13568,-0.79,1.38,-0.96,-11.54,80.75,-36.38
13576,-1.06,0.55,-0.7,103.76,114.01,-7.87
13585,-1.12,-0.17,-0.36,86.43,124.39,4.7
13594,-1.18,-0.43,-0.21,60,120.06,-15.63
13602,-1.35,-0.22,0,-0.79,116.33,-55.6
13610,-1.31,-0.06,0.16,-63.6,114.87,-90.03
13619,-1.19,-0.73,0.31,-164.31,111.94,-117.13
13628,-0.88,-0.42,0.83,-458.44,77.7,-157.78
13636,-0.84,0.41,0.56,-590.7,20.39,-196.96
13645,0.2,1.62,-0.29,-420.29,-8.18,-211.43
13654,0.06,2.18,-0.43,-159.18,6.29,-181.95
13662,-0.47,2.14,-0.01,-24.66,31.56,-125.61
13671,-0.58,1.4,-0.01,53.53,53.1,-53.41
13679,-0.52,0.51,-0.11,139.65,61.04,-8.73
13688,-0.52,0.35,-0.12,111.51,63.17,5.49
13696,-0.65,0.42,-0.04,78.55,65.06,6.29
13705,-0.54,0.58,-0.11,85.33,66.28,8.61
13714,-0.52,0.73,-0.16,133.18,68.97,19.1
13722,-0.74,0.88,0.02,155.21,69.76,40.22
13731,-1,0.82,-0.02,192.2,68.54,65.31
13739,-1.01,0.51,-0.17,229.25,71.59,85.69
13747,-0.57,0.23,-0.26,244.87,85.45,91.19
13756,-0.34,0.31,-0.01,198.06,104.61,81.48
13765,-1.06,1.16,1.32,107.36,120.79,69.82
13773,-1.99,1.42,1.86,52.67,111.94,75.62
13782,-2.09,1,0.96,21.79,67.32,87.71
13791,-1.2,0.57,0.02,26.86,45.84,80.02
13799,-0.52,0.56,0.12,48.4,52.98,62.93
13808,-0.3,0.57,0.02,54.75,54.93,56.27
13816,-0.2,0.59,0.01,73.12,57.31,59.2
13825,-0.2,0.53,0.17,113.65,56.76,67.81
13833,-0.3,0.47,0.41,151.79,51.76,78.37
13842,-0.54,0.52,0.64,186.95,33.81,84.35
13850,-0.95,0.47,0.93,240.54,7.26,82.21
13859,-1.08,0.13,0.78,286.13,-14.83,72.51
13868,-0.99,-0.11,0.4,240.42,-31.31,56.64
13876,-0.67,0.03,0.35,144.96,-29.72,36.25
13885,-0.87,0.04,0.38,134.4,-15.81,14.28
13893,-0.47,0.32,0.7,97.23,-5.55,4.15
13902,-0.69,0.05,0.72,126.22,-3.36,-0.98
13910,-0.21,0.6,0.95,95.4,-17.52,-0.43
13919,-0.4,0.47,0.85,137.7,-39.43,0.79
13928,-0.34,1.24,0.86,82.58,-72.14,11.23
13936,-0.84,0.84,0.57,136.6,-98.82,27.83
13945,-1.3,0.13,0.18,104.61,-115.97,54.32
13953,-1.08,-0.15,0.22,84.78,-109.44,60.42
13962,-1.27,-0.1,0.16,64.39,-97.11,35.46
13970,-1.16,0.19,-0.22,9.34,-83.01,2.5
13979,-1,0.42,-0.29,-1.59,-61.22,-17.58
13987,-0.82,0.65,-0.05,2.44,-37.05,-23.8
13996,-0.7,0.74,0.28,6.65,-23.8,-17.4
14004,-0.63,0.62,0.5,10.68,-22.89,-3.54
14013,-0.62,0.53,0.58,11.72,-31.43,7.14
14021,-0.64,0.48,0.63,11.96,-41.69,13.98
14030,-0.69,0.38,0.61,12.88,-50.6,19.04
14039,-0.68,0.48,0.5,15.01,-56.95,22.46
14047,-0.92,-0.12,0.32,39.37,-49.74,23.13
14056,-0.91,-0.19,0.33,-10.01,-36.01,10.62
14064,-0.91,-0.04,0.33,-17.82,-17.82,-10.86
14073,-0.88,0.19,0.28,-19.23,-5.55,-28.75
14082,-0.86,0.38,0.28,-24.29,0.79,-37.05
14090,-0.82,0.61,0.41,-28.87,2.32,-33.57
14099,-0.77,0.66,0.53,-31.25,-1.53,-18.19
14107,-0.74,0.55,0.48,-27.53,-7.26,1.59
14116,-0.76,0.39,0.41,-26.18,-13.31,18.37
14124,-0.77,0.2,0.34,-22.28,-14.47,28.5
14133,-0.86,0.13,0.32,-22.71,-14.47,28.63
14141,-0.91,0.14,0.31,-27.95,-12.63,23.93
14150,-0.94,0.24,0.34,-33.81,-10.62,19.71
14159,-0.98,0.42,0.42,-40.89,-11.35,20.39
14167,-1,0.46,0.46,-47.3,-16.05,30.09
14176,-1.02,0.39,0.33,-51.64,-23.56,42.66
14185,-0.99,0.44,0.2,-55.6,-27.89,53.34
14193,-1.2,0.22,0.24,-54.38,-25.76,65.06
14201,-1.29,-0.25,-0.43,-38.09,-23.5,62.87
14210,-1.05,0.91,0.19,-39.43,-10.31,41.26
14218,-0.98,0.29,0.3,-23.68,-1.34,54.99
14227,-0.93,-0.07,0.26,-15.44,-8.97,67.75
14236,-0.88,0.27,0.35,-20.2,-14.83,60.18
14244,-0.97,0.06,0.34,-15.87,-20.87,55.36
14253,-0.94,0.11,0.24,-13.55,-25.57,50.42
14261,-0.96,0.12,0.18,-13.85,-29.36,46.57
14270,-0.96,0.45,0.35,-10.07,-29.24,42.91
14279,-0.87,0.34,0.15,-0.12,-32.35,45.9
14287,-0.93,0.21,0.11,8.61,-34.36,48.28
14296,-0.98,0.21,0.15,8.73,-32.84,41.08
14304,-0.96,0.29,0.13,14.77,-33.69,34.73
14313,-0.95,0.11,0.01,18.25,-35.77,32.29
14322,-0.96,0.21,0.24,16.85,-38.88,25.63
14330,-0.88,0.08,0.3,17.64,-42.18,17.7
14339,-0.89,0.08,0.16,14.71,-48.52,8
14347,-0.89,0.23,0.23,13.92,-48.71,-0.37
14356,-0.87,0.29,0.16,16.6,-47.36,-4.76
14364,-0.92,0.27,0.14,20.51,-45.04,-5.49
14373,-0.9,0.2,0.19,24.23,-36.5,-7.26
14381,-0.83,0.12,0.37,22.4,-30.46,-12.33
14390,-0.89,0.06,0.38,18.92,-28.14,-16.6
14399,-0.84,0.02,0.42,16.6,-27.65,-23.32
14407,-0.88,0.17,0.33,10.25,-31.98,-34.48
14416,-1.01,0.34,0.14,7.45,-34.3,-37.84
14424,-0.87,0.1,0.23,8.12,-31.86,-33.39
14433,-0.93,0.32,0.27,3.78,-29.72,-32.41
14441,-1,0.37,0.14,-0.06,-26.67,-28.81
14450,-0.9,0.01,0.01,-1.04,-19.96,-23.8
14458,-0.89,-0.02,0.13,-2.81,-10.07,-26.61
14467,-0.89,0,0.32,-8.73,1.22,-39.49
14475,-0.85,0.15,0.2,-15.01,8.91,-52.55
14484,-0.89,0.34,0.36,-15.44,15.44,-54.81
14493,-1,0.51,0.54,-22.64,15.87,-47.91
14501,-1.12,0.63,0.56,-27.28,7.14,-28.2
14510,-0.96,0,0.06,-25.15,-3.66,-6.47
14518,-0.94,0.14,-0.07,-35.03,-3.48,-4.64
14527,-0.95,0.31,0.1,-39.61,3.11,-8.36
14536,-0.93,0.18,0.07,-36.93,8.79,-7.02
14544,-0.96,0.22,-0.03,-38.57,14.04,-4.46
14553,-0.95,0.21,0,-41.75,22.71,-3.66
14561,-0.97,0.11,0.22,-39.61,29.11,-2.93
14570,-0.97,0.28,0.17,-43.76,30.33,-3.97
14578,-1,0.47,0.25,-43.58,27.34,-0.98
14587,-1,0.2,0.1,-38.33,22.34,8
14595,-0.99,0.3,0.05,-37.72,18.37,13.55
14604,-1.04,0.34,0.18,-37.29,16.17,17.03
14612,-1.03,0.14,-0.01,-32.53,15.93,21.79
14621,-0.94,0.29,0.11,-34.55,18.13,22.58
14630,-0.93,0.07,0.24,-29.72,22.34,25.21
14638,-0.97,0.17,0.15,-26.18,19.47,22.77
14647,-0.96,0.1,0.13,-24.54,17.21,18.43
14655,-1.01,0.19,0.15,-24.35,14.4,14.1
14664,-0.98,0.38,0.14,-25.27,14.83,13
14672,-0.95,0.31,0.23,-24.05,16.24,20.32
14681,-0.98,0.31,0.14,-20.32,16.36,25.63
14690,-0.97,0.28,0.09,-17.82,13.49,25.76
14698,-0.98,0.49,0.18,-16.17,10.68,28.08
14707,-0.98,0.28,0.06,-9.58,10.25,35.28
14715,-0.94,0.4,0.09,-10.99,9.58,36.13
14724,-0.95,0.08,0.15,-5.86,10.31,38.88
14732,-0.92,0.27,0.24,-0.98,9.16,37.23
14741,-0.93,0.2,0.28,-0.92,7.08,34.12
14750,-1,0.31,0.35,0.06,2.44,30.33
14758,-0.94,0.3,0.28,5.43,-4.39,30.94
14767,-0.97,0.03,0.1,12.76,-13.06,35.4
14775,-0.96,0.3,0.16,9.03,-16.78,28.99
14784,-0.96,0.35,0.05,13.12,-19.47,25.63
14792,-0.91,0.27,0.07,18.07,-19.47,24.9
14801,-0.9,0.08,0.24,22.77,-18.8,23.62
14810,-0.91,0.17,0.18,22.71,-16.91,15.63
14818,-0.96,0.23,0.04,24.11,-15.75,7.14
14826,-0.88,0.21,0.26,26,-14.95,1.59
14835,-0.95,0.17,0.22,24.23,-16.97,-1.95
14844,-0.96,0.32,0.2,19.35,-22.16,-2.69
14852,-0.9,0.17,0.33,17.4,-22.77,-1.4
14861,-0.88,0.08,0.26,14.83,-24.11,-3.42
14870,-0.94,0.08,0.14,11.05,-24.35,-8.97
14878,-0.85,0.11,0.35,9.4,-19.29,-15.81
14886,-0.88,0.2,0.35,9.89,-17.76,-22.71
14895,-0.94,0.24,0.22,8.73,-21.42,-25.82
14903,-0.95,0.27,0.25,7.2,-19.1,-26.31
14912,-0.94,0.21,0.28,7.75,-14.83,-26.61
14921,-0.95,0.43,0.24,3.66,-14.1,-24.66
14929,-1.03,0.32,0.19,5,-11.78,-16.48
14938,-0.86,-0.01,0.31,1.16,-7.57,-11.47
14947,-0.81,-0.18,0.34,-1.59,-5.19,-14.04
14955,-0.84,0.03,0.35,-5.74,-5.37,-30.27
14963,-0.93,0.4,0.22,-8.54,-6.53,-42.3
14972,-1.02,0.4,0.2,-6.65,-5.49,-36.32
14981,-0.95,0.31,0.23,-9.03,-3.91,-22.4
14989,-0.93,0.11,0.1,-11.66,-2.99,-11.96
14998,-0.92,0.2,0.17,-18.07,0.61,-12.15
15006,-0.95,0.36,0.37,-21.55,3.66,-13.55
15015,-0.94,0.14,0.19,-19.59,2.93,-8.61
15023,-0.95,0.13,0.32,-22.46,1.46,-6.47
15032,-0.95,0.05,0.14,-27.65,1.65,-9.03
15041,-0.94,0.21,0.21,-30.7,2.87,-12.08
15049,-0.97,0.33,0.22,-33.87,5.43,-12.08
15058,-0.93,0.21,0.11,-33.33,6.35,-5.49
15067,-1.02,0.22,0.05,-32.9,4.46,-1.46
15075,-1.03,0.3,0.1,-35.16,6.77,-0.85
15083,-1,0.13,0.02,-31.56,11.96,2.5
15092,-0.94,0.18,0.25,-33.63,18.19,4.33
15101,-0.96,0.14,0.33,-36.56,19.78,6.53
15109,-0.97,0.17,0.21,-38.33,16.3,5.98
15117,-1.01,0.29,0.23,-40.53,17.46,6.35
