timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
4688239,-0.72,-0.74,0.25,-79.16,-23.93,20.02
4688248,-0.70,-0.76,0.25,-73.30,-20.32,19.04
4688257,-0.70,-0.78,0.24,-63.60,-18.68,17.46
4688265,-0.73,-0.78,0.22,-55.18,-20.57,16.97
4688274,-0.75,-0.78,0.38,-37.05,-25.15,17.15
4688283,-0.59,-0.87,0.35,-5.31,-31.25,16.85
4688291,-0.58,-0.80,0.42,16.05,-33.75,13.24
4688299,-0.61,-0.70,0.45,26.00,-33.08,9.34
4688308,-0.47,-0.77,0.36,48.40,-34.00,8.61
4688317,-0.59,-0.75,0.27,53.47,-32.90,7.75
4688325,-0.69,-0.80,0.20,54.87,-27.16,4.58
4688334,-0.59,-0.90,0.26,72.88,-19.35,-0.55
4688342,-0.62,-0.91,0.24,80.44,-15.99,-6.90
4688351,-0.59,-0.83,0.22,78.92,-16.05,-13.00
4688359,-0.53,-0.81,0.21,82.15,-15.56,-16.05
4688368,-0.51,-0.81,0.12,84.84,-13.24,-16.78
4688377,-0.53,-0.87,0.08,82.21,-8.24,-17.27
4688385,-0.50,-0.87,0.06,80.20,-2.38,-18.25
4688394,-0.55,-0.84,0.00,76.60,5.86,-20.20
4688402,-0.46,-0.81,0.07,69.40,15.56,-20.14
4688411,-0.57,-0.91,-0.17,64.39,22.03,-17.09
4688420,-0.49,-0.79,0.03,53.22,31.86,-16.11
4688428,-0.49,-0.84,-0.10,42.66,36.44,-11.66
4688437,-0.43,-0.81,0.15,31.25,38.88,-5.98
4688445,-0.45,-0.89,0.03,23.86,33.69,-1.95
4688454,-0.46,-0.86,0.09,20.87,28.44,-0.06
4688462,-0.45,-0.85,0.09,19.10,23.93,1.40
4688471,-0.44,-0.86,0.03,24.78,22.03,3.60
4688479,-0.45,-0.79,0.01,21.55,23.01,7.14
4688488,-0.45,-0.86,-0.01,14.16,26.25,11.47
4688497,-0.40,-0.90,-0.07,10.31,28.26,14.40
4688505,-0.44,-0.88,-0.11,-8.00,29.66,16.48
4688514,-0.47,-0.89,-0.11,-24.35,31.07,17.88
4688522,-0.47,-0.84,-0.11,-41.26,31.62,18.43
4688531,-0.51,-0.85,-0.05,-69.52,30.15,19.47
4688539,-0.61,-0.93,0.06,-85.33,27.53,19.41
4688548,-0.63,-0.95,0.14,-87.77,25.70,15.93
4688556,-0.53,-0.94,0.17,-86.00,22.64,10.68
4688565,-0.52,-0.89,0.19,-97.72,17.64,7.75
4688574,-0.50,-0.81,0.17,-107.18,11.23,6.65
4688582,-0.58,-0.81,0.14,-108.22,4.88,7.14
4688591,-0.66,-0.75,0.12,-115.36,0.49,7.81
4688599,-0.67,-0.69,0.14,-123.54,-0.37,7.63
4688608,-0.67,-0.73,0.23,-120.18,-0.73,9.40
4688616,-0.64,-0.74,0.31,-110.17,-3.72,10.50
4688625,-0.58,-0.81,0.33,-96.13,-10.13,11.90
4688633,-0.68,-0.79,0.27,-97.78,-19.17,13.67
4688642,-0.65,-0.78,0.28,-76.17,-18.68,12.27
4688651,-0.58,-0.77,0.38,-56.58,-14.71,10.86
4688659,-0.61,-0.75,0.31,-45.04,-14.22,11.05
4688668,-0.61,-0.68,0.40,-43.76,-19.96,12.57
4688676,-0.68,-0.72,0.33,-42.97,-23.50,14.95
4688685,-0.65,-0.73,0.39,-25.51,-23.74,16.24
4688693,-0.64,-0.75,0.41,-12.33,-27.59,17.21
4688702,-0.60,-0.79,0.35,-2.26,-33.20,18.49
4688710,-0.58,-0.75,0.38,7.20,-39.55,18.62
4688719,-0.68,-0.74,0.25,9.70,-41.02,16.91
4688727,-0.72,-0.77,0.21,11.96,-37.72,14.65
4688736,-0.71,-0.84,0.36,32.23,-35.77,12.33
4688745,-0.67,-0.90,0.35,59.27,-40.59,7.14
4688753,-0.75,-0.81,0.30,63.96,-47.12,0.92
4688762,-0.52,-0.80,0.25,81.24,-51.03,-3.05
4688770,-0.61,-0.78,0.28,95.70,-52.80,-5.74
4688779,-0.62,-0.76,0.35,98.75,-51.27,-9.34
4688788,-0.46,-0.89,0.32,131.10,-46.39,-14.28
4688796,-0.53,-0.81,0.30,134.09,-41.32,-19.90
4688805,-0.49,-0.79,0.17,142.21,-31.92,-25.94
4688813,-0.55,-0.84,-0.03,151.61,-15.08,-29.48
4688822,-0.50,-0.77,-0.08,140.87,6.04,-31.92
4688831,-0.53,-0.83,-0.16,119.02,25.70,-28.32
4688839,-0.46,-0.79,-0.09,98.57,43.03,-22.89
4688848,-0.37,-0.83,0.01,85.14,52.49,-13.79
