accX,accY,accZ,gyrX,gyrY,gyrZ
-0.18,1.56,-0.90,-28.20,320.25,5.13
-0.18,1.56,-0.90,-28.20,320.25,5.13
-0.14,1.69,-0.91,-4.03,307.56,-51.33
-0.21,1.75,-0.91,10.38,291.69,-119.02
-0.21,1.75,-0.91,10.38,291.69,-119.02
-0.38,1.61,-0.80,28.44,267.46,-190.92
-0.38,1.61,-0.80,28.44,267.46,-190.92
-0.60,1.41,-0.66,57.31,236.15,-249.94
-0.60,1.29,-0.64,85.51,212.16,-289.00
-0.81,1.29,-0.64,85.51,212.16,-289.00
-0.85,1.27,-0.73,107.85,204.28,-315.73
-0.85,1.27,-0.73,107.85,204.28,-315.73
-0.84,1.46,-0.89,118.71,210.14,-335.08
-0.84,1.46,-0.89,161.99,216.49,-346.25
-0.95,1.28,-1.14,161.99,216.49,-346.25
-0.95,1.12,-1.37,201.84,207.70,-361.02
-0.95,1.12,-1.37,201.84,207.70,-361.02
-0.91,0.75,-1.62,210.21,181.15,-364.99
-0.91,0.75,-1.62,210.21,138.31,-338.50
-0.83,0.60,-1.67,225.52,138.31,-338.50
-0.72,0.59,-1.60,197.45,99.79,-311.58
-0.72,0.59,-1.60,197.45,99.79,-311.58
-0.55,0.50,-1.69,177.12,65.92,-282.41
-0.55,0.50,-1.69,177.12,65.92,-251.59
-0.40,0.39,-1.81,153.02,25.39,-251.59
-0.31,0.32,-1.79,120.79,-25.09,-219.24
-0.31,0.32,-1.79,120.79,-25.09,-219.24
-0.31,0.30,-1.58,80.51,-76.97,-191.35
-0.31,0.30,-1.58,80.51,-76.97,-166.56
-0.33,0.30,-1.31,41.63,-116.70,-166.56
-0.34,0.35,-1.03,4.58,-141.36,-144.53
-0.34,0.35,-1.03,4.58,-141.36,-144.53
-0.35,0.40,-0.76,-22.22,-156.68,-124.27
-0.35,0.40,-0.76,-22.22,-156.68,-104.98
-0.35,0.45,-0.52,-37.72,-165.04,-104.98
-0.33,0.48,-0.31,-46.45,-166.44,-86.18
-0.33,0.48,-0.31,-46.45,-166.44,-86.18
-0.32,0.52,-0.14,-48.58,-161.74,-68.42
-0.32,0.52,-0.01,-45.10,-148.93,-52.49
-0.22,0.55,-0.01,-45.10,-148.93,-52.49
-0.19,0.62,0.03,-36.68,-131.65,-38.27
-0.19,0.62,0.03,-36.68,-131.65,-38.27
-0.09,0.62,-0.03,-22.46,-108.46,-26.43
-0.05,0.68,-0.13,-17.94,-92.41,-19.53
-0.05,0.68,-0.13,-17.94,-92.41,-19.53
-0.02,0.74,-0.18,-21.18,-76.60,-16.60
-0.02,0.74,-0.18,-21.18,-76.60,-17.40
-0.01,0.75,-0.26,-20.45,-61.89,-17.40
0.01,0.76,-0.36,-24.90,-47.73,-21.85
0.01,0.76,-0.36,-24.90,-47.73,-21.85
0.03,0.75,-0.44,-29.72,-39.61,-23.50
0.03,0.75,-0.44,-33.08,-37.66,-22.95
0.04,0.76,-0.44,-33.08,-37.66,-22.95
