accX,accY,accZ,gyrX,gyrY,gyrZ
-0.49,0.09,-1.90,114.01,522.89,-12.27
-0.49,0.09,-1.90,114.01,522.89,-12.27
-0.41,0.31,-2.03,122.44,457.58,-5.13
-0.38,0.33,-2.09,130.00,385.01,-20.26
-0.38,0.33,-2.09,130.00,385.01,-20.26
-0.34,0.22,-2.07,130.07,321.78,-44.56
-0.34,0.22,-2.07,130.07,321.78,-44.56
-0.37,0.11,-2.02,125.24,256.23,-60.36
-0.37,0.11,-2.02,118.59,201.84,-63.05
-0.38,0.01,-2.19,118.59,201.84,-63.05
-0.27,-0.04,-2.49,104.19,164.55,-59.20
-0.27,-0.04,-2.49,104.19,164.55,-59.20
-0.19,-0.03,-2.73,83.98,116.03,-52.49
-0.19,-0.03,-2.73,63.11,48.95,-50.78
-0.13,-0.03,-2.82,63.11,48.95,-50.78
-0.18,-0.10,-2.61,41.44,-32.47,-54.99
-0.18,-0.10,-2.61,41.44,-32.47,-54.99
-0.29,-0.22,-2.16,25.09,-110.66,-58.59
-0.29,-0.38,-1.69,9.46,-165.34,-55.18
-0.35,-0.38,-1.69,9.46,-165.34,-55.18
-0.38,-0.40,-1.40,-15.08,-197.39,-40.34
-0.38,-0.40,-1.40,-15.08,-197.39,-24.72
-0.35,-0.28,-1.31,-44.80,-208.13,-18.74
-0.27,-0.17,-1.28,-63.29,-208.13,-3.23
-0.27,-0.17,-1.28,-63.29,-208.13,-3.23
-0.23,-0.13,-1.25,-73.97,-214.23,2.50
-0.23,-0.13,-1.25,-82.34,-224.67,4.58
-0.21,-0.11,-1.15,-82.34,-224.67,4.58
-0.22,-0.07,-0.98,-86.98,-234.86,8.61
-0.22,-0.07,-0.98,-86.98,-234.86,8.61
-0.23,-0.03,-0.78,-88.26,-237.85,11.84
-0.23,0.01,-0.61,-83.86,-231.99,12.15
-0.23,0.01,-0.61,-83.86,-231.99,12.15
-0.17,0.02,-0.47,-74.10,-222.53,11.66
-0.17,0.02,-0.47,-74.10,-222.53,11.66
-0.14,0.06,-0.34,-60.12,-212.89,13.31
-0.10,0.12,-0.25,-40.59,-198.12,15.14
-0.10,0.12,-0.25,-40.59,-198.12,15.14
-0.06,0.15,-0.19,-17.15,-173.16,13.24
-0.06,0.15,-0.19,-17.15,-173.16,13.24
-0.04,0.12,-0.22,5.00,-139.77,9.16
-0.04,0.03,-0.37,19.96,-102.60,4.52
0.00,0.03,-0.37,19.96,-102.60,4.52
0.06,-0.03,-0.61,25.45,-74.34,3.54
0.06,-0.03,-0.61,25.45,-74.34,3.54
0.12,-0.04,-0.91,20.02,-61.10,8.61
