accX,accY,accZ,gyrX,gyrY,gyrZ
-0.11,1.39,1.18,27.16,-17.70,-55.30
-0.11,1.39,1.18,27.16,-17.70,-55.30
-0.35,1.40,1.60,50.23,29.48,-70.19
-0.57,1.29,1.84,83.50,112.79,-83.62
-0.57,1.29,1.84,83.50,112.79,-83.62
-0.67,1.12,1.77,117.00,224.79,-90.45
-0.67,1.12,1.77,117.00,224.79,-90.45
-0.77,1.00,1.58,140.62,332.89,-89.17
-0.77,1.00,1.36,167.48,419.98,-73.73
-0.87,0.97,1.37,167.48,419.98,-73.73
-0.93,0.99,1.05,196.59,486.51,-48.22
-0.93,0.99,1.05,196.59,486.51,-48.22
-0.89,1.09,0.56,222.84,532.78,-22.52
-0.89,1.09,0.56,238.46,549.26,-2.32
-0.83,1.26,0.07,241.15,549.26,-2.32
-0.75,1.28,-0.38,245.36,544.68,6.41
-0.75,1.28,-0.38,245.36,544.68,6.41
-0.65,1.23,-0.89,227.36,530.94,5.37
-0.65,1.23,-0.89,227.36,530.94,5.37
-0.26,1.19,-1.62,179.14,496.52,-1.28
0.08,1.05,-2.16,124.82,412.05,-10.74
0.09,1.05,-2.16,124.82,412.05,-10.74
0.31,0.82,-2.38,80.44,289.73,-13.43
0.31,0.82,-2.38,80.44,289.73,-13.43
0.47,0.84,-2.20,22.83,167.79,-4.39
0.47,0.84,-1.86,-23.62,60.85,2.32
0.53,0.83,-1.86,-23.62,60.85,2.32
0.47,0.80,-1.36,-53.10,-24.66,4.82
0.47,0.80,-1.36,-53.10,-24.66,4.82
0.39,0.87,-0.81,-70.07,-86.85,8.85
0.39,0.87,-0.81,-70.74,-122.44,9.58
0.28,0.94,-0.36,-70.74,-122.44,9.58
0.23,0.97,-0.12,-55.73,-139.47,7.75
0.23,0.97,-0.12,-55.73,-139.47,7.75
0.18,0.98,0.00,-26.25,-151.55,6.77
0.18,0.98,0.00,5.00,-157.47,4.94
0.15,0.96,-0.01,5.80,-157.47,4.94
0.13,0.92,-0.13,30.52,-159.91,2.14
0.13,0.92,-0.13,30.52,-159.91,2.14
0.13,0.89,-0.27,39.86,-166.75,-1.10
0.13,0.89,-0.27,39.86,-166.75,-1.10
0.11,0.83,-0.37,36.13,-182.74,-3.85
0.11,0.78,-0.39,20.51,-204.22,-5.07
0.08,0.78,-0.39,20.51,-204.22,-5.07
0.04,0.71,-0.32,-0.79,-229.49,-3.85
0.04,0.71,-0.32,-0.79,-229.49,-3.85
0.01,0.72,-0.23,-26.00,-250.24,0.49
0.01,0.72,-0.23,-50.42,-260.44,6.16
0.01,0.78,-0.08,-50.42,-260.44,6.16
-0.02,0.85,0.15,-68.54,-264.16,9.40
-0.02,0.85,0.15,-68.54,-264.16,9.40
-0.06,0.91,0.38,-78.98,-259.95,9.64
-0.06,0.91,0.38,-78.98,-246.34,8.97
-0.07,0.96,0.57,-79.59,-246.34,8.97
-0.06,0.98,0.69,-71.04,-226.68,7.87
-0.06,0.98,0.69,-71.04,-226.68,7.87
-0.05,1.04,0.75,-56.82,-204.22,7.39
-0.05,1.04,0.75,-56.82,-204.22,7.39
-0.02,1.11,0.73,-40.65,-181.95,6.65
0.01,1.11,0.64,-21.00,-160.22,1.71
0.01,1.11,0.64,-21.00,-160.22,1.71
0.03,1.05,0.51,-5.92,-140.44,-4.82
0.03,1.05,0.51,-5.92,-140.44,-4.82
0.03,1.00,0.39,-2.62,-122.50,-10.80
0.03,0.99,0.28,-15.01,-105.83,-15.81
0.05,0.99,0.28,-15.01,-105.83,-15.81
0.07,0.99,0.18,-35.22,-93.44,-20.45
0.07,0.99,0.18,-35.22,-93.44,-20.45
0.08,0.99,0.17,-55.97,-89.90,-22.89
0.08,0.99,0.17,-74.16,-89.54,-24.41
0.08,1.02,0.22,-74.16,-89.54,-24.41
0.08,1.07,0.34,-86.55,-88.62,-25.70
0.08,1.07,0.34,-86.55,-88.62,-25.70
0.06,1.12,0.49,-85.02,-86.06,-26.92
0.06,1.12,0.49,-85.02,-76.72,-26.86
0.04,1.12,0.58,-68.18,-76.72,-26.86
0.06,1.09,0.55,-41.38,-58.84,-26.43
0.06,1.09,0.55,-41.38,-58.84,-26.43
0.07,0.97,0.44,-13.61,-42.60,-25.21
0.07,0.97,0.44,-13.61,-42.60,-25.21
0.06,0.94,0.39,1.65,-29.30,-20.51
0.09,0.94,0.29,9.52,-15.38,-15.99
0.09,0.94,0.29,9.52,-15.38,-15.99
0.12,0.93,0.19,14.22,-6.04,-12.70
0.12,0.93,0.19,14.22,-6.04,-12.70
0.13,0.94,0.13,14.89,-3.23,-10.13
0.13,0.94,0.13,9.34,-2.75,-9.22
0.16,0.96,0.05,9.34,-2.75,-9.22
0.21,0.95,-0.07,-1.04,-3.85,-11.17
0.21,0.95,-0.07,-1.04,-3.85,-11.17
0.23,0.94,-0.11,-16.72,-10.68,-13.67
0.23,0.94,-0.11,-16.72,-23.25,-15.01
0.22,0.97,-0.04,-34.18,-23.25,-15.01
0.20,1.02,0.10,-46.08,-33.94,-16.54
0.20,1.02,0.10,-46.08,-33.94,-16.54
0.18,1.03,0.21,-48.52,-37.54,-19.10
0.18,1.03,0.21,-48.52,-37.54,-21.85
0.17,1.01,0.28,-44.62,-34.24,-21.85
0.16,0.98,0.33,-37.11,-27.22,-23.32
0.16,0.98,0.33,-37.11,-27.22,-23.32
0.15,0.96,0.38,-26.86,-18.13,-21.97
0.15,0.96,0.38,-26.86,-18.13,-21.97
0.18,0.94,0.37,-12.94,-5.86,-18.19
0.27,0.95,0.29,0.43,6.84,-11.41
0.27,0.95,0.29,0.43,6.84,-11.41
0.28,1.01,0.20,11.72,15.63,-1.46
0.28,1.01,0.20,11.72,15.63,-1.46
0.25,1.03,0.17,28.32,12.27,9.22
0.25,1.03,0.17,28.32,4.64,15.44
0.23,1.04,0.17,46.20,4.64,15.44
0.22,1.03,0.13,58.65,0.31,17.33
0.22,1.03,0.13,58.65,0.31,17.33
0.24,1.01,0.05,60.24,-1.83,15.63
0.24,1.01,0.05,60.24,-1.83,15.63
0.26,1.01,0.01,47.67,-4.21,10.80
0.26,1.01,0.01,47.67,-4.21,10.80
0.27,1.02,0.04,27.40,-8.91,4.03
0.27,1.02,0.13,7.69,-14.34,-2.69
0.25,1.02,0.13,7.69,-14.34,-2.69
0.23,1.02,0.21,-7.39,-17.64,-8.00
0.23,1.02,0.21,-7.39,-17.64,-8.00
0.21,1.01,0.26,-15.87,-18.43,-12.02
0.21,1.01,0.26,-17.27,-18.43,-13.98
0.20,1.00,0.27,-17.27,-18.43,-13.98
0.20,0.98,0.25,-14.71,-17.88,-14.77
0.20,0.98,0.25,-14.71,-17.88,-14.77
0.18,0.93,0.25,-11.05,-16.66,-14.71
0.18,0.93,0.25,-11.05,-16.66,-13.31

-0.27,1.31,1.46,85.94,53.96,-3.11
-0.27,1.31,1.46,85.94,53.96,-3.11
-0.48,1.32,1.81,113.53,118.23,-10.38
-0.48,1.32,1.81,158.33,210.14,-12.63
-0.69,1.28,1.97,158.33,210.14,-12.63
-0.86,1.26,1.83,222.90,321.41,-0.55
-0.86,1.26,1.83,222.90,321.41,-0.55
-0.90,1.23,1.53,286.32,429.44,21.24
-0.90,1.23,1.53,286.32,429.44,21.24
-0.92,1.25,1.04,331.67,507.26,49.62
-0.92,1.37,0.61,358.28,550.42,83.80
-0.85,1.36,0.61,358.28,550.42,83.80
-0.77,1.53,0.24,374.08,572.02,110.72
-0.77,1.53,0.24,374.08,572.02,110.72
-0.73,1.66,-0.08,372.13,578.92,124.21
-0.73,1.66,-0.08,372.13,578.92,124.21
-0.68,1.68,-0.38,346.44,576.42,116.52
-0.51,1.58,-0.75,309.14,564.88,93.32
-0.51,1.58,-0.75,309.14,564.88,93.32
-0.27,1.49,-1.14,258.06,539.31,64.88
-0.27,1.49,-1.14,258.06,539.31,64.88
-0.02,1.32,-1.38,188.78,494.08,29.60
-0.02,1.32,-1.38,122.25,426.64,-2.44
0.37,1.16,-1.65,122.25,426.64,-2.44
0.67,0.98,-1.86,71.59,318.85,-19.17
0.67,0.98,-1.86,71.59,318.85,-19.17
0.74,0.85,-1.92,32.53,187.68,-18.86
0.74,0.85,-1.92,32.53,187.68,-18.86
0.76,0.77,-1.77,-6.35,65.00,-9.46
0.76,0.76,-1.55,-43.70,-40.77,3.48
0.65,0.76,-1.55,-43.70,-40.77,3.48
0.47,0.86,-1.30,-86.98,-125.55,13.98
0.47,0.86,-1.30,-86.98,-125.55,13.98
0.31,0.77,-1.07,-118.84,-191.22,12.94
0.31,0.77,-1.07,-151.06,-245.85,11.47
0.09,0.70,-0.70,-151.06,-245.85,11.47
-0.03,0.71,-0.34,-175.84,-285.71,21.36
-0.03,0.71,-0.34,-175.84,-285.71,21.36
-0.13,0.82,-0.06,-183.59,-311.34,39.18
-0.13,0.82,-0.06,-185.24,-326.90,53.71
-0.19,0.94,0.20,-185.24,-326.90,53.71
-0.19,1.01,0.36,-178.41,-330.38,60.24
-0.19,1.01,0.36,-178.41,-330.38,60.24
-0.19,1.06,0.40,-157.71,-327.15,65.06
-0.19,1.06,0.40,-139.65,-316.53,65.98
-0.13,1.11,0.40,-139.65,-316.53,65.98
-0.06,1.16,0.45,-128.78,-304.26,60.06
-0.06,1.16,0.45,-128.78,-304.26,60.06
0.01,1.22,0.58,-118.84,-292.91,48.52
0.01,1.22,0.58,-118.84,-277.28,35.52
0.03,1.28,0.67,-101.14,-279.72,35.52
0.06,1.28,0.76,-80.81,-259.03,17.82
0.06,1.28,0.76,-80.81,-259.03,17.82
0.09,1.24,0.76,-62.19,-232.12,-3.17
0.09,1.24,0.76,-62.19,-232.12,-3.17
0.11,1.18,0.69,-46.39,-203.61,-21.61
0.13,1.11,0.54,-34.97,-177.73,-37.84
0.13,1.11,0.54,-34.97,-177.73,-37.84
0.11,0.91,0.42,-22.03,-160.34,-49.44
0.11,0.91,0.42,-22.03,-160.34,-49.44
0.05,0.90,0.49,-30.76,-150.76,-52.37
-0.01,0.92,0.57,-44.07,-137.08,-52.98
-0.01,0.92,0.57,-44.07,-137.08,-52.98
-0.01,0.89,0.54,-45.04,-116.76,-52.37
-0.01,0.89,0.54,-45.04,-116.76,-52.37
0.01,0.79,0.46,-37.84,-101.68,-49.32
0.03,0.70,0.39,-31.49,-95.21,-39.98
0.03,0.70,0.39,-31.49,-95.21,-39.98
0.05,0.67,0.38,-27.89,-90.45,-25.82
0.05,0.67,0.38,-27.89,-90.45,-25.82
0.08,0.70,0.38,-24.84,-83.13,-10.01
0.11,0.79,0.39,-25.21,-72.27,3.66
0.11,0.79,0.39,-25.21,-72.27,3.66
0.14,0.89,0.36,-25.02,-60.97,12.82
0.14,0.89,0.36,-25.02,-60.97,12.82
0.16,0.95,0.30,-27.04,-50.72,15.38
0.16,0.95,0.30,-27.04,-35.10,11.47
0.19,1.00,0.21,-32.35,-41.02,11.47
0.21,1.02,0.14,-39.37,-36.62,3.17
0.21,1.02,0.14,-39.37,-36.62,3.17
0.20,1.00,0.12,-43.82,-39.37,-5.62
0.20,1.00,0.12,-43.82,-39.37,-5.62
0.19,0.98,0.13,-48.03,-43.82,-11.84
0.19,0.98,0.15,-51.94,-48.46,-15.26
0.18,0.98,0.15,-51.94,-48.46,-15.26
0.17,1.00,0.17,-54.87,-52.92,-17.21
0.17,1.00,0.17,-54.87,-52.92,-17.21
0.15,1.01,0.19,-54.87,-57.31,-19.29
0.15,1.01,0.19,-51.09,-60.49,-22.16
0.17,0.98,0.22,-51.09,-60.49,-22.16
0.16,0.95,0.25,-45.35,-63.60,-22.46
0.16,0.95,0.25,-45.35,-63.60,-22.46
0.16,0.94,0.25,-37.48,-65.19,-20.02
0.16,0.94,0.25,-37.48,-65.19,-16.11
0.14,0.91,0.26,-30.33,-66.10,-16.11
0.12,0.89,0.28,-26.92,-60.85,-11.90
0.12,0.89,0.28,-26.92,-60.85,-11.90
0.12,0.89,0.30,-27.22,-50.54,-7.02
0.12,0.89,0.30,-27.22,-50.54,-2.69
0.14,0.91,0.30,-27.83,-39.37,-2.69
0.15,0.97,0.27,-27.22,-29.79,1.10
0.15,0.97,0.27,-27.22,-29.79,1.10
0.17,0.99,0.22,-23.62,-23.80,2.14
0.17,0.99,0.22,-23.62,-23.80,2.14
0.18,1.00,0.17,-18.49,-21.30,0.79
0.18,1.00,0.13,-14.28,-20.87,-0.79
0.18,0.99,0.13,-14.28,-20.87,-0.79
0.19,0.99,0.10,-11.84,-21.12,-2.38
0.19,0.99,0.10,-11.84,-21.12,-2.38
0.19,1.03,0.10,-10.80,-23.13,-4.27
0.19,1.03,0.10,-8.67,-25.57,-9.64
0.18,1.03,0.12,-8.67,-25.57,-9.64
0.18,0.97,0.13,-7.45,-26.25,-16.66
0.18,0.97,0.13,-7.45,-26.25,-16.66
0.16,0.90,0.15,-6.35,-27.28,-19.35
0.16,0.90,0.15,-6.35,-28.14,-15.75
0.15,0.87,0.17,-6.04,-28.14,-15.75
0.15,0.89,0.16,-7.63,-26.37,-8.79
0.15,0.89,0.16,-7.63,-26.37,-8.79
0.17,0.93,0.15,-11.05,-22.95,-3.54
0.17,0.93,0.15,-11.05,-22.95,-0.98
0.18,0.96,0.14,-13.49,-20.08,-0.98
0.18,0.97,0.16,-15.93,-17.88,-0.43
0.18,0.97,0.16,-15.93,-17.88,-0.43
0.16,0.99,0.19,-16.11,-15.56,-1.28
0.16,0.99,0.19,-16.11,-15.56,-1.28
0.16,1.00,0.21,-14.16,-12.76,-3.11
0.16,0.98,0.20,-10.19,-9.40,-4.76

-0.27,1.34,1.61,-13.98,147.95,-34.61
-0.27,1.34,1.61,-13.98,147.95,-34.61
-0.45,1.26,1.82,21.18,221.37,-42.48
-0.45,0.99,1.73,67.63,310.12,-42.11
-0.64,0.99,1.73,67.63,310.12,-42.11
-0.73,0.90,1.32,119.87,391.48,-21.42
-0.73,0.90,1.32,119.87,391.48,-21.42
-0.77,1.00,0.89,160.83,448.12,9.77
-0.77,1.00,0.89,160.83,481.38,38.21
-0.83,1.02,0.58,194.21,481.38,38.21
-0.85,1.07,0.27,216.98,500.06,64.15
-0.85,1.07,0.27,216.98,500.06,64.15
-0.84,1.10,-0.07,231.51,508.12,86.55
-0.84,1.10,-0.07,231.51,508.12,86.55
-0.75,1.14,-0.37,226.75,509.34,101.56
-0.75,1.14,-0.37,205.02,500.79,106.63
-0.54,1.18,-0.67,205.02,500.79,106.63
-0.33,1.18,-0.96,174.38,474.73,101.56
-0.33,1.18,-0.96,174.38,474.73,101.56
0.00,1.23,-1.23,130.13,437.13,89.72
0.00,1.23,-1.23,130.13,437.13,89.72
0.32,1.45,-1.54,76.17,392.33,73.49
0.55,1.57,-1.87,23.01,332.70,41.87
0.55,1.57,-1.87,23.01,332.70,41.87
0.71,1.35,-2.11,2.32,244.81,-3.54
0.71,1.35,-2.11,2.32,244.81,-3.54
0.68,1.01,-2.06,-8.85,128.66,-36.56
0.68,1.01,-2.06,-27.16,9.89,-41.50
0.48,0.77,-1.72,-27.16,9.89,-41.50
0.29,0.67,-1.39,-44.43,-81.91,-24.17
0.29,0.67,-1.39,-44.43,-81.91,-24.17
0.15,0.64,-1.15,-68.30,-142.94,-1.28
0.15,0.64,-1.15,-98.88,-184.33,17.58
0.04,0.65,-0.88,-98.88,-184.33,17.58
-0.03,0.63,-0.66,-128.54,-210.39,35.83
-0.03,0.63,-0.66,-128.54,-210.39,35.83
-0.02,0.77,-0.55,-148.44,-226.87,55.36
-0.02,0.77,-0.55,-164.00,-243.84,69.52
-0.01,1.01,-0.45,-164.00,-243.84,69.52
-0.05,1.02,-0.28,-161.68,-260.93,70.68
-0.05,1.02,-0.28,-161.68,-260.93,70.68
-0.11,0.99,-0.08,-151.18,-271.67,73.55
-0.11,0.99,-0.08,-150.27,-269.47,73.24
-0.07,1.11,-0.01,-150.27,-269.47,73.24
-0.02,1.21,0.01,-142.09,-264.77,69.34
-0.02,1.21,0.01,-142.09,-264.77,69.34
-0.02,1.21,0.04,-118.65,-265.69,63.60
-0.02,1.21,0.04,-103.03,-265.20,55.54
-0.03,1.17,0.13,-96.19,-265.20,55.54
-0.03,1.16,0.23,-80.75,-257.93,46.69
-0.03,1.16,0.23,-80.75,-257.93,46.69
-0.02,1.16,0.31,-66.89,-242.98,37.54
-0.02,1.16,0.31,-66.89,-227.36,28.02
0.00,1.16,0.37,-53.89,-222.29,28.02
0.02,1.12,0.44,-39.55,-199.83,19.04
0.02,1.12,0.44,-39.55,-199.83,19.04
0.02,1.11,0.49,-26.31,-176.39,11.35
0.02,1.11,0.49,-26.31,-176.39,11.35
0.02,1.08,0.48,-12.70,-152.95,4.94
0.02,1.08,0.41,2.01,-133.00,1.40
0.02,1.04,0.41,2.01,-133.00,1.40
0.01,1.02,0.35,17.03,-118.29,1.28
0.01,1.02,0.35,17.03,-118.29,1.28
0.02,0.98,0.29,29.79,-105.77,3.66
0.02,0.98,0.29,29.79,-105.77,3.66
0.03,0.97,0.22,37.96,-95.03,7.26
0.03,1.00,0.16,38.82,-85.02,10.74
0.06,1.00,0.16,38.82,-85.02,10.74
0.09,1.02,0.12,36.13,-77.33,11.29
0.09,1.02,0.12,36.13,-77.33,11.29
0.11,1.02,0.11,28.93,-71.11,9.28
0.11,1.02,0.11,28.93,-71.11,5.86
0.12,1.01,0.11,19.41,-64.76,5.86
0.13,1.01,0.11,8.91,-59.02,2.32
0.13,1.01,0.11,8.91,-59.02,2.32
0.14,1.02,0.11,0.92,-55.54,-0.98
0.14,1.02,0.11,0.92,-55.54,-0.98
0.15,1.02,0.11,-1.95,-54.38,-3.54
0.15,1.02,0.11,0.00,-54.63,-5.31
0.15,1.00,0.10,0.00,-54.63,-5.31
0.14,0.99,0.08,2.69,-54.44,-6.90
0.14,0.99,0.08,2.69,-54.44,-6.90
0.15,0.98,0.05,4.33,-54.26,-8.18
0.15,0.98,0.05,4.33,-54.26,-8.18
0.14,0.96,0.04,5.19,-55.42,-9.16
0.14,0.93,0.03,4.09,-58.11,-8.67
0.14,0.93,0.03,4.09,-58.11,-8.67
0.14,0.94,0.04,0.98,-60.24,-7.02
0.14,0.94,0.04,0.98,-60.24,-7.02
0.14,0.94,0.07,-3.36,-61.10,-5.80
0.14,0.94,0.07,-7.51,-60.30,-5.62
0.14,0.96,0.12,-7.51,-60.30,-5.62
0.12,0.98,0.17,-10.25,-57.07,-5.92
0.12,0.98,0.17,-10.25,-57.07,-5.92
0.12,0.97,0.19,-9.83,-50.96,-6.71
0.12,0.97,0.19,-9.83,-35.34,-6.53
0.12,0.95,0.18,-8.79,-44.56,-6.53
0.12,0.94,0.15,-6.10,-39.86,-4.58
0.12,0.94,0.15,-6.10,-39.86,-4.58
0.12,0.93,0.13,-2.87,-36.87,-1.59
0.12,0.93,0.13,-2.87,-36.87,2.01
0.13,0.94,0.12,-1.53,-34.85,2.01
0.13,0.96,0.13,-1.71,-32.84,4.70
0.13,0.96,0.13,-1.71,-32.84,4.70
0.13,0.98,0.16,-0.49,-31.43,5.92
0.13,0.98,0.16,-0.49,-31.43,5.92
0.13,1.01,0.16,2.99,-30.82,6.16
0.13,1.01,0.16,2.99,-29.30,4.82
0.13,0.98,0.13,9.28,-29.30,4.82
0.14,0.94,0.08,13.18,-28.20,4.58
0.14,0.94,0.08,13.18,-28.20,4.58
0.16,0.96,0.05,11.35,-28.08,6.77
0.16,0.96,0.05,11.35,-28.08,6.77
0.15,0.97,0.07,7.39,-29.72,8.67
0.15,0.97,0.07,4.33,-29.54,8.79
0.14,0.97,0.09,4.33,-29.54,8.79
0.14,0.97,0.11,0.12,-27.40,8.85
0.14,0.97,0.11,0.12,-27.40,8.85
0.15,1.01,0.11,-4.09,-25.45,9.28
0.15,1.01,0.11,-4.09,-25.45,9.28
0.15,1.03,0.12,-6.16,-24.23,7.81
0.15,1.03,0.12,-5.74,-24.41,4.46
0.15,1.03,0.12,-5.74,-24.41,4.46
0.14,1.00,0.12,-2.99,-25.02,0.85
0.14,1.00,0.12,-2.99,-25.02,0.85
0.13,0.97,0.11,0.00,-25.51,-0.61
0.13,0.97,0.11,0.00,-25.51,-0.61
