accX,accY,accZ,gyrX,gyrY,gyrZ
-0.27,0.25,1.87,49.74,-134.34,-18.86
-0.27,0.25,1.87,49.74,-134.34,-18.86
-0.32,0.15,2.04,64.88,-110.96,-16.91
-0.32,0.15,2.14,73.36,-74.58,-7.14
-0.32,0.13,2.14,73.36,-74.58,-7.14
-0.31,0.21,2.25,81.48,-36.38,6.90
-0.31,0.21,2.25,81.48,-36.38,6.90
-0.33,0.31,2.38,97.05,0.24,17.70
-0.33,0.31,2.38,112.67,43.15,18.49
-0.46,0.36,2.48,113.22,43.15,18.49
-0.54,0.37,2.50,113.59,103.09,8.73
-0.54,0.37,2.50,113.59,103.09,8.73
-0.66,0.34,2.36,101.26,178.65,-4.09
-0.66,0.34,2.36,101.26,178.65,-4.09
-0.73,0.18,2.08,80.87,257.20,-20.75
-0.73,0.18,2.08,61.58,328.43,-34.18
-0.75,-0.11,1.75,61.58,328.43,-34.18
-0.76,-0.36,1.44,46.26,378.72,-24.90
-0.76,-0.36,1.44,46.26,378.72,-24.90
-0.73,-0.47,1.17,32.53,407.84,4.76
-0.73,-0.47,1.17,32.53,407.84,46.39
-0.66,-0.43,0.92,27.65,420.04,46.39
-0.60,-0.33,0.67,25.88,421.63,87.95
-0.60,-0.33,0.67,25.88,421.63,87.95
-0.49,-0.20,0.41,16.78,419.19,118.10
-0.49,-0.20,0.41,16.78,419.19,118.10
-0.34,-0.09,0.10,6.29,410.03,139.04
-0.34,-0.09,0.10,6.29,410.03,152.89
-0.08,0.09,-0.34,-16.36,390.14,152.89
0.24,0.42,-0.78,-60.97,353.09,153.32
0.24,0.42,-0.78,-60.97,353.09,153.32
0.54,0.58,-1.22,-90.15,291.69,130.31
0.54,0.58,-1.22,-90.15,291.69,130.31
0.79,0.64,-1.45,-102.97,207.09,93.38
0.79,0.64,-1.45,-96.07,100.22,54.38
0.78,0.65,-1.22,-96.07,100.22,54.38
0.62,0.50,-0.73,-66.41,1.53,16.85
0.62,0.50,-0.73,-66.41,1.53,16.85
0.41,0.31,-0.24,-41.14,-62.74,-12.27
0.41,0.31,-0.24,-41.14,-62.74,-27.89
0.30,0.13,0.01,-26.43,-92.16,-28.69
0.23,-0.04,-0.07,-19.65,-105.41,-33.69
0.23,-0.04,-0.07,-19.65,-105.41,-33.69
0.17,-0.13,-0.12,-14.22,-127.56,-27.53
0.17,-0.13,-0.12,-14.22,-143.19,-18.25
0.12,-0.12,-0.17,-20.94,-153.81,-18.25
0.11,-0.07,-0.13,-32.17,-188.42,-8.79
0.11,-0.07,-0.13,-32.17,-188.42,-8.79
0.09,0.04,0.12,-36.93,-228.88,-0.79
0.09,0.04,0.12,-22.77,-264.95,6.59
0.00,0.18,0.51,-22.77,-264.95,6.59
-0.08,0.30,0.94,-3.91,-282.59,5.62
-0.08,0.30,0.94,-3.91,-282.59,5.62
-0.16,0.34,1.31,3.85,-273.80,-5.25
-0.16,0.34,1.31,3.85,-242.55,-21.12
-0.16,0.28,1.47,11.05,-240.97,-21.12
-0.13,0.16,1.42,14.59,-191.53,-30.33
-0.13,0.16,1.42,14.59,-191.53,-30.33
-0.05,0.04,1.17,8.42,-141.66,-30.88
-0.05,0.04,1.17,8.42,-141.66,-30.88
0.02,0.02,0.91,-6.41,-107.48,-24.60
0.05,0.07,0.72,-17.52,-94.24,-15.32
0.05,0.07,0.72,-17.52,-94.24,-15.32
0.07,0.10,0.60,-30.21,-94.73,-9.28
0.07,0.10,0.60,-30.21,-94.73,-9.28
0.10,0.19,0.55,-46.75,-102.23,-9.16
0.10,0.19,0.62,-56.82,-115.54,-17.03
0.11,0.21,0.62,-56.82,-115.54,-17.03
0.12,0.24,0.88,-62.13,-127.62,-25.57
0.12,0.24,0.88,-62.13,-127.62,-25.57
0.08,0.27,1.19,-52.31,-133.97,-31.01
0.08,0.27,1.19,-30.03,-129.27,-35.71
0.00,0.25,1.47,-30.03,-129.27,-35.71
-0.06,0.19,1.56,-12.33,-106.99,-39.98
-0.06,0.19,1.56,-12.33,-106.99,-39.98
-0.04,0.07,1.38,-0.73,-75.99,-39.98
-0.04,0.07,1.38,8.79,-53.59,-29.72
-0.01,0.02,1.11,8.79,-53.59,-29.72
0.03,0.10,0.91,14.59,-45.47,-11.54
0.03,0.10,0.91,14.59,-45.47,-11.54
0.02,0.20,0.81,17.33,-48.22,-0.61
0.02,0.20,0.81,17.33,-48.22,0.61
-0.01,0.24,0.79,17.46,-56.21,0.61
-0.03,0.21,0.82,11.41,-65.37,-3.36
-0.03,0.21,0.82,11.41,-65.37,-3.36
-0.02,0.16,0.97,4.27,-74.28,-5.92
-0.02,0.16,0.97,4.27,-74.28,-5.92
-0.00,0.17,1.19,4.33,-80.44,-5.37
-0.04,0.19,1.40,15.14,-81.60,-2.01
-0.04,0.19,1.40,15.14,-81.60,-2.01
-0.09,0.22,1.52,28.93,-73.49,2.56
-0.09,0.22,1.52,28.93,-73.49,2.56
-0.09,0.30,1.55,34.18,-52.19,0.85
-0.09,0.30,1.55,38.02,-26.92,-6.23
-0.06,0.33,1.45,38.02,-26.92,-6.23
-0.04,0.26,1.26,41.75,-6.71,-15.87
-0.04,0.26,1.26,41.75,-6.71,-15.87
-0.02,0.12,1.07,42.79,3.54,-22.40
-0.02,0.12,1.07,42.79,3.54,-22.40
-0.02,0.03,0.97,35.52,3.42,-20.51
-0.02,0.06,0.98,27.10,-2.62,-11.72
-0.03,0.06,0.98,27.10,-2.62,-11.72
-0.02,0.14,1.04,22.52,-8.24,-6.23
-0.02,0.14,1.04,22.52,-8.24,-6.23
-0.02,0.15,1.09,22.95,-10.62,-9.28
-0.02,0.15,1.09,29.42,-10.74,-13.67
-0.03,0.09,1.12,29.42,-10.74,-13.67
-0.05,0.01,1.09,34.06,-8.18,-13.43
-0.05,0.01,1.09,34.06,-8.18,-13.43
-0.04,-0.06,1.03,35.10,-5.07,-7.93
-0.04,-0.06,1.03,35.10,-5.07,0.85
-0.04,-0.06,1.03,29.85,-3.42,0.85
-0.05,-0.00,1.05,25.57,-2.87,11.47
-0.05,-0.00,1.05,25.57,-2.87,11.47
-0.05,0.05,1.09,21.97,-1.46,18.62
-0.05,0.05,1.09,21.97,-1.46,18.62
-0.05,0.07,1.08,21.36,0.79,22.34
-0.05,0.07,1.06,20.02,2.87,24.48
-0.04,0.09,1.06,20.02,2.87,24.48
-0.04,0.13,1.04,18.07,3.48,25.82
-0.04,0.13,1.04,18.07,3.48,25.82
-0.03,0.16,1.03,15.99,2.93,25.09
-0.03,0.16,1.03,15.99,2.93,25.09
-0.02,0.20,1.00,12.76,2.44,21.85
-0.02,0.21,1.00,8.91,1.04,15.20
-0.01,0.21,1.00,8.91,1.04,15.20
-0.02,0.19,1.05,6.77,-2.14,7.69
-0.02,0.19,1.05,6.77,-2.14,7.69

-0.31,0.04,1.90,39.18,7.87,27.83
-0.31,0.04,1.90,39.18,7.87,27.83
-0.36,0.05,1.98,45.53,43.27,38.45
-0.36,0.05,2.10,46.57,90.03,46.14
-0.37,0.19,2.11,46.57,90.03,46.14
-0.40,0.25,2.19,56.03,144.35,44.80
-0.40,0.25,2.19,56.03,144.35,44.80
-0.42,0.17,2.07,60.79,206.60,33.94
-0.42,0.17,2.07,60.79,206.60,33.94
-0.42,-0.02,1.87,63.72,265.75,25.15
-0.42,-0.11,1.62,66.35,312.68,30.94
-0.41,-0.12,1.62,66.35,312.68,30.94
-0.42,-0.16,1.33,67.87,345.28,49.32
-0.42,-0.16,1.33,67.87,345.28,49.32
-0.37,-0.11,1.01,58.53,367.98,69.21
-0.37,-0.11,1.01,44.86,380.00,83.56
-0.26,-0.07,0.67,44.86,380.00,83.56
-0.14,-0.04,0.38,32.29,376.53,94.48
-0.14,-0.04,0.38,32.29,376.53,94.48
-0.00,-0.01,0.13,17.88,358.70,103.39
-0.00,-0.01,0.13,17.88,358.70,103.39
0.15,0.01,-0.07,3.60,331.12,109.80
0.15,0.01,-0.07,-8.73,294.56,113.28
0.29,0.06,-0.17,-8.73,294.56,113.28
0.41,0.11,-0.20,-17.09,250.24,113.46
0.41,0.11,-0.20,-17.09,250.24,113.46
0.49,0.16,-0.21,-21.67,203.49,109.86
0.49,0.16,-0.21,-21.67,203.49,109.86
0.55,0.22,-0.19,-29.72,157.10,101.81
0.55,0.22,-0.16,-37.60,112.30,90.03
0.59,0.26,-0.18,-37.60,112.30,90.03
0.63,0.29,-0.17,-43.58,66.65,76.29
0.63,0.29,-0.17,-43.58,66.65,76.29
0.63,0.30,-0.15,-49.13,19.90,61.16
0.63,0.30,-0.15,-49.13,19.90,61.16
0.60,0.28,-0.16,-52.61,-25.02,47.12
0.57,0.26,-0.14,-56.27,-69.76,36.01
0.57,0.26,-0.14,-56.27,-69.76,36.01
0.51,0.22,-0.06,-54.26,-116.33,28.56
0.51,0.22,-0.06,-54.26,-116.33,28.56
0.43,0.18,0.04,-49.26,-157.29,24.23
0.34,0.13,0.16,-45.59,-192.57,20.87
0.34,0.13,0.16,-45.59,-192.57,20.87
0.23,0.09,0.31,-42.97,-224.49,20.63
0.23,0.09,0.31,-42.97,-224.49,20.63
0.15,0.09,0.46,-39.86,-248.84,24.41
0.15,0.09,0.46,-36.87,-263.00,29.54
0.13,0.13,0.62,-36.87,-263.00,29.54
0.12,0.20,0.78,-26.43,-269.47,33.26
0.12,0.20,0.78,-26.43,-269.47,33.26
0.13,0.26,0.92,-9.40,-269.35,33.81
0.13,0.26,0.92,-9.40,-269.35,33.81
0.03,0.33,1.04,4.70,-263.67,29.60
0.03,0.33,1.04,14.89,-254.27,22.83
-0.00,0.35,1.20,14.89,-254.27,22.83
-0.03,0.44,1.38,16.42,-239.56,10.80
-0.03,0.44,1.38,16.42,-239.56,10.80
-0.06,0.48,1.49,26.73,-216.00,-6.23
-0.06,0.48,1.49,26.73,-216.00,-6.23
-0.07,0.46,1.47,31.68,-181.82,-26.98
-0.07,0.36,1.33,27.77,-144.23,-48.22
-0.04,0.36,1.33,27.77,-144.23,-48.22
-0.03,0.19,1.17,23.62,-116.15,-64.21
-0.03,0.19,1.17,23.62,-116.15,-64.21
-0.03,0.03,1.05,18.07,-99.00,-68.85
-0.03,0.03,1.02,9.16,-91.19,-62.56
-0.04,-0.07,1.02,9.16,-91.19,-62.56
-0.06,-0.08,1.09,1.04,-87.40,-49.56
-0.06,-0.08,1.09,1.04,-87.40,-49.56
-0.09,-0.06,1.18,0.00,-82.46,-35.22
-0.09,-0.06,1.25,0.06,-71.96,-23.13
-0.08,0.01,1.25,0.06,-71.96,-23.13
-0.07,0.11,1.25,0.37,-58.59,-14.89
-0.07,0.11,1.25,0.37,-58.59,-14.89
-0.06,0.19,1.21,7.02,-48.10,-12.82
-0.06,0.19,1.21,13.37,-39.49,-15.81
-0.06,0.22,1.17,13.37,-39.49,-15.81
-0.05,0.20,1.10,16.30,-31.86,-20.02
-0.05,0.20,1.10,16.30,-31.86,-20.02
-0.05,0.15,1.04,16.85,-27.10,-23.50
-0.05,0.15,1.04,16.85,-27.10,-23.80
-0.05,0.10,1.00,14.65,-24.23,-23.80
-0.04,0.11,0.98,9.77,-24.84,-21.73
-0.04,0.11,0.98,9.77,-24.84,-21.73
-0.04,0.16,1.00,6.35,-29.97,-19.78
-0.04,0.16,1.00,6.35,-29.97,-19.78
-0.06,0.18,1.00,6.84,-34.30,-20.45
-0.06,0.16,1.00,6.65,-37.11,-23.44
-0.06,0.16,1.00,6.65,-37.11,-23.44
-0.07,0.12,1.02,5.74,-40.77,-25.15
-0.07,0.12,1.02,5.74,-40.77,-25.15
-0.07,0.10,1.02,7.08,-42.91,-22.71
-0.07,0.13,1.05,7.26,-44.98,-17.15
-0.08,0.13,1.05,7.26,-44.98,-17.15
-0.08,0.17,1.10,10.01,-47.73,-13.31
-0.08,0.17,1.10,10.01,-47.73,-13.31
-0.09,0.18,1.12,13.31,-47.73,-12.27
-0.09,0.18,1.12,13.98,-45.59,-13.61
-0.09,0.20,1.14,13.98,-45.59,-13.61
-0.09,0.20,1.14,18.68,-43.09,-16.05
-0.09,0.20,1.14,18.68,-43.09,-16.05
-0.11,0.18,1.13,24.72,-38.02,-15.93
-0.11,0.18,1.13,24.72,-28.32,-18.13
-0.13,0.14,1.11,19.23,-28.32,-18.13
-0.13,0.10,1.09,14.89,-19.65,-18.55
-0.13,0.10,1.09,14.89,-19.65,-18.55
-0.14,0.12,1.09,9.83,-15.08,-16.78
-0.14,0.12,1.09,9.83,-15.08,-15.75
-0.15,0.17,1.08,7.02,-14.53,-15.75
-0.14,0.14,1.05,8.00,-14.16,-18.74
-0.14,0.14,1.05,8.00,-14.16,-18.74
-0.14,0.08,1.04,7.87,-12.15,-21.12
-0.14,0.08,1.04,7.87,-12.15,-21.12
-0.14,0.03,1.03,6.29,-9.09,-18.55
-0.15,0.02,1.04,2.14,-6.04,-12.02
-0.15,0.02,1.04,2.14,-6.04,-12.02
-0.15,0.08,1.04,-3.66,-2.87,-4.52
-0.15,0.08,1.04,-3.66,-2.87,-4.52
-0.13,0.14,1.01,-5.43,0.55,0.31
-0.12,0.16,1.01,-3.30,2.50,1.65
-0.12,0.16,1.01,-3.30,2.50,1.65
-0.13,0.14,1.02,2.08,2.99,1.22
-0.13,0.14,1.02,2.08,2.99,1.22
-0.13,0.12,1.01,5.19,6.10,2.08
-0.13,0.12,1.01,5.19,6.10,3.23
-0.12,0.13,0.95,2.75,11.17,3.23
-0.09,0.15,0.88,-3.30,13.49,4.76
-0.09,0.15,0.88,-3.30,13.49,4.76

-0.25,0.20,1.97,64.27,43.09,1.71
-0.25,0.20,1.97,64.27,43.09,1.71
-0.31,0.25,2.13,77.39,83.74,-0.55
-0.31,0.25,2.13,99.79,134.64,-5.00
-0.43,0.19,2.14,99.79,134.64,-5.00
-0.52,0.03,1.97,115.91,192.14,-8.61
-0.52,0.03,1.97,115.91,192.14,-8.61
-0.55,-0.13,1.73,108.89,251.28,-9.34
-0.55,-0.13,1.73,108.89,251.28,0.67
-0.50,-0.24,1.39,98.94,298.71,0.67
-0.42,-0.26,1.19,94.67,321.72,22.22
-0.42,-0.26,1.19,94.67,321.72,22.22
-0.35,-0.24,1.07,87.28,327.39,43.76
-0.35,-0.24,1.07,87.28,327.39,43.76
-0.28,-0.18,0.94,79.47,326.17,59.69
-0.28,-0.18,0.94,70.74,323.06,68.36
-0.14,-0.11,0.72,70.74,323.06,68.36
-0.02,-0.08,0.57,56.58,312.19,69.03
-0.02,-0.08,0.57,56.58,312.19,69.03
0.13,-0.07,0.41,39.73,298.95,66.47
0.13,-0.07,0.41,39.73,298.95,66.47
0.30,-0.06,0.20,27.16,279.11,65.43
0.30,-0.06,0.20,13.06,246.58,64.33
0.41,-0.02,0.12,13.06,246.58,64.33
0.50,0.01,0.09,2.93,211.18,61.10
0.50,0.01,0.09,2.93,211.18,61.10
0.55,0.05,0.07,-2.14,172.42,58.04
0.55,0.05,0.07,-2.14,172.42,58.04
0.60,0.11,0.05,-3.42,134.77,52.61
0.60,0.11,0.05,-2.14,97.41,44.13
0.67,0.14,-0.07,-2.14,97.41,44.13
0.72,0.17,-0.19,-3.72,53.16,33.75
0.72,0.17,-0.19,-3.72,53.16,33.75
0.74,0.21,-0.27,-2.14,1.59,23.68
0.74,0.21,-0.27,-2.14,1.59,23.68
0.68,0.17,-0.25,-2.20,-53.16,12.08
0.61,0.07,-0.20,-4.58,-100.71,-0.79
0.59,0.07,-0.20,-4.58,-100.71,-0.79
0.56,0.02,-0.07,-12.21,-135.99,-8.97
0.56,0.02,-0.07,-12.21,-135.99,-8.97
0.48,0.02,0.16,-18.68,-163.27,-12.27
0.34,0.07,0.63,-26.55,-181.52,-12.57
0.34,0.07,0.63,-26.55,-181.52,-12.57
0.23,0.12,0.99,-31.37,-179.75,-19.10
0.23,0.12,0.99,-31.37,-179.75,-19.10
0.18,0.09,1.08,-32.59,-158.33,-27.65
0.18,0.01,0.98,-27.04,-130.55,-32.04
0.19,0.01,0.98,-27.04,-130.55,-32.04
0.21,-0.02,0.86,-30.03,-106.81,-32.71
0.21,-0.02,0.86,-30.03,-106.81,-32.71
0.23,-0.03,0.76,-36.68,-93.69,-31.49
0.23,-0.06,0.67,-41.32,-90.70,-30.15
0.23,-0.06,0.67,-41.32,-90.70,-30.15
0.24,-0.12,0.52,-42.30,-94.73,-27.47
0.24,-0.12,0.52,-42.30,-94.73,-27.47
0.29,-0.06,0.50,-48.58,-108.34,-21.18
0.28,0.09,0.62,-47.00,-129.52,-15.99
0.28,0.09,0.62,-47.00,-129.52,-15.99
0.23,0.14,0.76,-30.03,-148.80,-16.85
