timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1249966,-0.00,0.01,0.98,0.73,0.73,-0.18
1249975,-0.01,0.01,0.98,0.49,0.67,-0.12
1249983,-0.01,0.01,0.98,0.43,0.49,-0.31
1249992,-0.01,0.01,0.98,0.43,0.55,-0.31
1250000,-0.02,0.01,0.98,0.43,0.49,-0.31
1250008,-0.02,0.01,0.98,0.31,0.55,-0.31
1250017,-0.02,0.02,0.98,0.12,0.55,-0.12
1250026,-0.02,0.02,0.98,0.06,0.67,-0.24
1250035,-0.03,0.02,0.98,0.18,0.79,-0.24
1250043,-0.02,0.02,0.98,0.31,1.04,-0.24
1250051,-0.02,0.02,0.98,0.37,1.04,-0.12
1250060,-0.02,0.02,0.98,0.49,1.22,-0.12
1250069,-0.02,0.02,0.99,0.43,1.22,-0.12
1250077,-0.01,0.02,0.98,0.49,1.04,-0.24
1250086,-0.01,0.02,0.99,0.55,1.04,-0.31
1250095,-0.01,0.02,0.99,0.61,1.22,-0.24
1250103,-0.00,0.02,0.99,0.43,1.04,-0.12
1250112,-0.00,0.02,0.99,0.55,1.04,-0.06
1250121,-0.00,0.01,0.99,0.79,0.92,-0.06
1250129,-0.00,0.01,0.99,0.73,0.73,-0.18
1250138,-0.00,0.01,0.99,0.73,0.67,-0.24
1250147,-0.01,0.01,0.99,0.67,0.67,-0.31
1250155,-0.01,0.01,0.98,0.49,0.49,-0.24
1250164,-0.02,0.01,0.98,0.61,0.55,-0.24
1250173,-0.02,0.01,0.98,0.43,0.55,-0.37
1250181,-0.02,0.01,0.98,0.43,0.49,-0.12
1250190,-0.02,0.01,0.98,0.24,0.55,0.00
1250199,-0.02,0.01,0.98,0.31,0.61,-0.06
1250207,-0.02,0.01,0.98,0.18,0.49,-0.12
1250216,-0.02,0.02,0.98,0.31,0.79,-0.24
1250224,-0.02,0.02,0.98,0.24,0.79,-0.18
1250233,-0.02,0.02,0.98,0.24,1.04,-0.18
1250242,-0.02,0.02,0.99,0.31,1.16,-0.12
1250250,-0.01,0.02,0.98,0.37,1.10,-0.06
1250259,-0.01,0.02,0.99,0.43,1.04,0.06
1250268,-0.01,0.02,0.99,0.37,1.04,-0.06
1250275,-0.00,0.02,0.99,0.67,0.85,-0.18
1250284,-0.00,0.02,0.99,0.67,0.85,-0.18
1250293,-0.00,0.02,0.99,0.67,0.92,-0.18
1250302,-0.01,0.02,0.99,0.79,0.85,-0.31
1250310,-0.01,0.01,0.99,0.73,0.79,-0.24
1250319,-0.01,0.01,0.98,0.55,0.67,-0.12
1250327,-0.01,0.01,0.98,0.61,0.49,-0.12
1250336,-0.01,0.01,0.98,0.55,0.49,-0.18
1250344,-0.02,0.01,0.98,0.55,0.55,-0.24
1250353,-0.02,0.01,0.98,0.49,0.49,-0.43
1250362,-0.02,0.01,0.98,0.37,0.37,-0.43
1250371,-0.02,0.01,0.98,0.31,0.55,-0.31
1250380,-0.02,0.02,0.98,0.37,0.79,-0.12
1250388,-0.02,0.02,0.98,0.37,0.85,-0.06
1250397,-0.02,0.02,0.98,0.24,0.79,-0.06
1250406,-0.02,0.02,0.98,0.31,0.92,0.06
1250414,-0.02,0.02,0.99,0.24,1.04,-0.12
1250423,-0.01,0.02,0.98,0.31,1.16,-0.18
1250432,-0.01,0.02,0.99,0.43,1.04,-0.12
1250439,-0.01,0.02,0.99,0.43,1.10,-0.24
1250448,-0.00,0.02,0.99,0.31,1.16,-0.31
1250457,-0.00,0.02,0.99,0.61,1.04,-0.12
1250465,-0.00,0.02,0.99,0.55,0.92,-0.12
1250474,-0.01,0.02,0.99,0.55,0.85,-0.12
1250482,-0.01,0.01,0.99,0.61,0.61,-0.24
1250491,-0.01,0.01,0.99,0.61,0.61,-0.24
1250500,-0.01,0.01,0.98,0.55,0.43,-0.12
1250508,-0.01,0.01,0.98,0.49,0.49,-0.06
1250517,-0.02,0.01,0.98,0.55,0.43,-0.12
1250526,-0.02,0.01,0.98,0.37,0.49,0.00
1250534,-0.02,0.01,0.98,0.31,0.67,-0.12
1250543,-0.02,0.01,0.98,0.37,0.79,-0.18
1250552,-0.02,0.01,0.98,0.37,0.92,-0.12
1250560,-0.02,0.01,0.97,0.31,0.85,-0.12
1250569,-0.02,0.01,0.99,0.12,1.10,-0.12
1250577,-0.02,0.02,0.99,0.12,0.92,-0.31
1250586,-0.02,0.02,0.98,0.31,0.85,-0.31
1250595,-0.01,0.02,0.98,0.31,0.92,-0.24
1250604,-0.01,0.02,0.99,0.06,1.16,-0.31
1250612,-0.01,0.03,0.98,0.31,0.98,-0.18
1250621,-0.01,0.02,0.99,0.49,0.73,-0.06
1250630,-0.01,0.02,0.99,0.49,0.61,-0.06
1250639,-0.00,0.02,0.99,0.37,0.61,-0.24
1250646,-0.01,0.02,0.99,0.49,0.73,-0.18
1250655,-0.01,0.01,0.99,0.85,0.73,-0.31
1250664,-0.01,0.02,0.98,0.43,0.73,-0.43
1250673,-0.01,0.02,0.98,0.67,0.67,-0.31
1250681,-0.02,0.01,0.99,0.67,0.61,-0.18
1250690,-0.02,0.01,0.98,0.61,0.67,-0.12
1250699,-0.02,0.01,0.98,0.61,0.61,0.00
1250707,-0.02,0.01,0.98,0.49,0.79,-0.18
1250716,-0.02,0.01,0.98,0.43,0.73,-0.24
1250725,-0.02,0.01,0.98,0.37,0.73,-0.24
1250733,-0.02,0.01,0.98,0.31,0.79,-0.12
