timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
185258,-0.01,0.02,0.98,0.61,0.55,-0.31
185267,-0.01,0.01,0.99,0.55,0.73,-0.55
185275,-0.02,0.02,0.99,0.55,0.79,-0.55
185283,-0.02,0.02,0.98,0.37,0.61,-0.43
185292,-0.02,0.02,0.99,0.55,0.73,-0.12
185301,-0.02,0.01,0.99,0.55,0.85,-0.12
185309,-0.02,0.02,0.98,0.55,0.61,-0.18
185318,-0.02,0.01,0.99,0.49,0.73,-0.31
185327,-0.02,0.01,0.98,0.67,0.67,-0.24
185335,-0.02,0.02,0.98,0.55,0.73,-0.24
185344,-0.02,0.02,0.98,0.55,0.92,-0.31
185353,-0.02,0.02,0.98,0.55,0.79,-0.06
185361,-0.01,0.01,0.98,0.61,0.85,0.18
185370,-0.01,0.00,0.98,0.31,0.98,0.49
185378,-0.00,-0.00,0.98,0.24,0.98,0.37
185387,-0.00,-0.00,0.98,0.06,0.79,0.06
185396,-0.00,0.00,0.99,0.06,0.67,-0.24
185404,-0.01,0.01,0.99,-0.06,0.67,-0.49
185413,-0.01,0.02,0.99,0.06,0.49,-0.85
185422,-0.01,0.03,0.99,0.12,0.37,-0.49
185430,-0.02,0.03,0.99,0.12,0.43,-0.12
185439,-0.01,0.02,0.99,0.12,0.55,0.12
185448,-0.01,0.01,0.99,0.06,0.55,0.18
185456,-0.01,0.01,0.98,0.24,0.37,0.06
185465,-0.01,0.01,0.98,0.37,0.43,-0.18
185473,-0.02,0.02,0.98,0.43,0.55,-0.49
185482,-0.02,0.02,0.98,0.37,0.67,-0.55
185491,-0.03,0.03,0.98,0.43,0.92,-0.43
185499,-0.03,0.03,0.98,0.49,0.85,-0.18
185508,-0.02,0.03,0.98,0.55,1.04,0.12
185517,-0.02,0.02,0.98,0.61,1.10,0.31
185525,-0.01,0.01,0.98,0.67,0.85,0.18
185534,-0.01,0.01,0.98,0.79,1.10,-0.06
185542,-0.01,0.01,0.98,0.61,0.92,-0.37
185551,-0.01,0.01,0.99,0.49,0.92,-0.43
185560,-0.01,0.01,0.98,0.55,0.92,-0.37
185569,-0.01,0.01,0.99,0.43,1.04,-0.12
185577,-0.01,0.01,0.98,0.37,0.92,0.00
185586,-0.01,0.00,0.98,0.12,0.73,0.24
185594,-0.00,0.00,0.98,0.06,0.73,0.12
185603,-0.01,0.01,0.98,-0.06,0.61,-0.06
185612,-0.01,0.01,0.99,0.06,0.67,-0.18
185620,-0.01,0.02,0.99,0.06,0.61,-0.49
185629,-0.01,0.03,0.99,0.12,0.61,-0.61
185638,-0.01,0.04,0.99,0.37,0.37,-0.37
185646,-0.02,0.04,0.99,0.49,0.37,-0.12
185654,-0.02,0.03,1.00,0.49,0.73,0.18
185663,-0.01,0.02,0.98,0.67,0.37,0.24
185672,-0.01,0.01,0.97,0.61,0.31,0.18
185680,-0.01,-0.01,0.99,0.67,0.73,0.06
185689,-0.01,0.00,0.98,0.61,0.73,-0.31
185698,-0.02,0.01,0.97,0.61,0.43,-0.49
185706,-0.02,0.01,0.98,0.67,0.55,-0.55
185715,-0.02,0.01,0.99,0.31,0.73,-0.12
185724,-0.02,0.02,0.98,0.18,0.67,-0.18
185732,-0.02,0.01,0.98,0.06,0.61,0.12
185740,-0.01,0.01,0.98,-0.06,0.67,0.18
185749,-0.01,0.01,0.98,-0.18,0.61,0.00
185758,-0.01,0.01,0.98,-0.12,0.73,-0.31
185766,-0.02,0.02,0.99,0.06,0.85,-0.55
185775,-0.02,0.03,0.98,-0.06,0.98,-0.18
185784,-0.02,0.03,0.98,-0.18,0.85,-0.24
185792,-0.02,0.02,0.99,0.00,0.85,0.00
185801,-0.02,0.03,0.99,0.06,1.04,0.06
185809,-0.01,0.02,0.98,0.12,0.92,0.18
185818,-0.01,0.02,0.99,0.18,0.79,-0.06
185827,-0.01,0.02,0.99,0.43,0.98,-0.24
