a1X,a1Y,a1Z,g1X,g1Y,g1Z,a2X,a2Y,a2Z,g2X,g2Y,g2Z
-0.266,-0.988,-0.025,-2.747,-1.831,-4.822,-62.90,0.15,0.00,0.00,0.00,22.63
-0.274,-1.000,-0.019,-2.319,-2.136,-5.615,-62.90,0.15,0.00,0.00,0.00,22.63
-0.277,-0.996,-0.006,-1.160,-2.319,-5.432,-62.90,0.15,0.00,0.00,0.00,22.63
-0.262,-1.012,-0.027,0.732,-3.845,-3.113,-62.90,0.15,0.00,0.00,0.00,22.63
-0.261,-1.000,-0.018,1.892,-5.981,-1.648,-62.90,0.15,0.00,0.00,0.00,22.63
-0.256,-0.994,-0.011,2.258,-6.348,-1.465,-62.90,0.15,0.00,0.00,0.00,22.63
-0.247,-0.971,-0.010,1.953,-5.859,-2.014,-62.90,0.15,0.00,0.00,0.00,22.63
-0.239,-0.989,-0.018,2.869,-4.944,-4.395,-62.90,0.15,0.00,0.00,0.00,22.63
-0.241,-0.982,-0.021,2.808,-3.662,-5.737,-62.90,0.15,0.00,0.00,0.00,22.63
-0.242,-0.943,-0.021,4.639,-1.892,-6.714,-62.90,0.15,0.00,0.00,0.00,22.63
-0.262,-0.959,0.004,9.705,-0.549,-7.629,-62.90,0.15,0.00,0.00,0.00,22.63
-0.272,-0.950,0.018,13.184,4.333,-11.536,-62.90,0.15,0.00,0.00,0.00,22.63
-0.277,-0.925,-0.002,16.174,6.592,-14.343,-62.90,0.15,0.00,0.00,0.00,22.63
-0.255,-1.004,-0.064,18.677,7.812,-18.005,-62.90,0.15,0.00,0.00,0.00,22.63
-0.249,-1.082,-0.083,19.287,4.211,-17.334,-62.90,0.15,0.00,0.00,0.00,22.63
-0.299,-1.095,-0.045,16.968,-1.709,-9.155,-62.90,0.15,0.00,0.00,0.00,22.63
-0.310,-0.971,-0.027,10.559,-0.061,-6.226,-62.90,0.15,0.00,0.00,0.00,22.63
-0.304,-0.949,-0.025,13.184,-0.061,-5.493,-62.90,0.15,0.00,0.00,0.00,22.63
-0.287,-0.961,-0.030,17.395,0.122,-5.737,-62.90,0.15,0.00,0.00,0.00,22.63
-0.277,-0.968,-0.042,19.287,0.793,-6.531,-62.90,0.15,0.00,0.00,0.00,22.63
-0.284,-0.967,-0.052,20.935,2.258,-8.484,-62.90,0.15,0.00,0.00,0.00,22.63
-0.319,-1.008,-0.030,22.400,2.747,-10.010,-62.90,0.15,0.00,0.00,0.00,22.63
-0.313,-0.910,-0.077,24.109,3.967,-8.118,-62.90,0.15,0.00,0.00,0.00,22.63
-0.290,-0.992,-0.098,34.180,-0.183,0.732,-62.90,0.15,0.00,0.00,0.00,22.63
-0.281,-1.026,-0.096,29.602,-1.587,2.747,-62.90,0.15,0.00,0.00,0.00,22.63
-0.289,-1.012,-0.109,27.161,-1.892,3.357,-62.90,0.15,0.00,0.00,0.00,22.63
-0.284,-0.995,-0.101,22.827,-2.075,-0.061,-62.90,0.15,0.00,0.00,0.00,22.63
-0.281,-0.987,-0.095,22.400,-6.470,-2.869,-62.90,0.15,0.00,0.00,0.00,22.63
-0.284,-0.975,-0.106,22.827,-8.240,-2.441,-62.90,0.15,0.00,0.00,0.00,22.63
-0.283,-0.992,-0.111,23.437,-8.118,-3.052,-62.90,0.15,0.00,0.00,0.00,22.63
-0.278,-0.983,-0.108,23.621,-7.935,-3.113,-62.90,0.15,0.00,0.00,0.00,22.63
-0.293,-0.958,-0.091,25.391,-8.118,-2.625,-62.90,0.15,0.00,0.00,0.00,22.63
-0.303,-0.985,-0.118,29.602,-8.118,-2.930,-62.90,0.15,0.00,0.00,0.00,22.63
-0.263,-0.860,-0.164,32.715,-7.690,-1.892,-62.90,0.15,0.00,0.00,0.00,22.63
-0.250,-0.950,-0.172,47.363,-10.071,3.174,-62.90,0.15,0.00,0.00,0.00,22.63
-0.286,-0.993,-0.160,52.490,-22.766,8.911,-62.90,0.15,0.00,0.00,0.00,22.63
-0.353,-1.007,-0.137,42.114,-22.278,6.531,-62.90,0.15,0.00,0.00,0.00,22.63
-0.315,-1.023,-0.178,38.147,-19.531,5.188,-62.90,0.15,0.00,0.00,0.00,22.63
-0.280,-0.965,-0.240,39.612,-19.409,5.554,-62.90,0.15,0.00,0.00,0.00,22.63
-0.251,-1.025,-0.263,40.649,-23.193,10.132,-62.90,0.15,0.00,0.00,0.00,22.63
-0.202,-0.874,-0.235,48.584,-29.419,14.343,-62.90,0.15,0.00,0.00,0.00,22.63
-0.268,-0.936,-0.259,56.946,-36.072,20.386,-62.90,0.15,0.00,0.00,0.00,22.63
-0.265,-0.913,-0.216,57.495,-31.921,17.761,-62.90,0.15,0.00,0.00,0.00,22.63
-0.287,-0.844,-0.262,57.190,-27.527,16.785,-62.90,0.15,0.00,0.00,0.00,22.63
-0.260,-0.967,-0.386,76.111,-22.034,13.367,-62.90,0.15,0.00,0.00,0.00,22.63
-0.267,-1.015,-0.348,81.909,-20.935,13.245,-62.90,0.15,0.00,0.00,0.00,22.63
-0.309,-0.884,-0.282,74.036,-18.616,12.451,-62.90,0.15,0.00,0.00,0.00,22.63
-0.306,-0.750,-0.282,62.378,-12.695,4.028,-62.90,0.15,0.00,0.00,0.00,22.63
-0.278,-0.845,-0.325,65.063,-4.272,-11.963,-62.90,0.15,0.00,0.00,0.00,22.63
-0.227,-1.102,-0.369,75.867,-5.310,-7.629,-62.90,0.15,0.00,0.00,0.00,22.63
-0.246,-1.044,-0.355,65.308,-8.484,0.854,4.97,2.67,12.21,-1.31,-0.83,0.57
-0.261,-0.915,-0.369,50.537,-20.691,18.982,-62.90,0.15,0.00,0.00,0.00,2.83
-0.266,-0.814,-0.360,49.561,-27.527,24.170,3.60,1.99,9.96,-1.74,-0.91,0.65
-0.282,-0.739,-0.305,51.270,-29.907,24.231,-62.90,0.15,0.00,0.00,0.00,22.63
-0.253,-0.944,-0.407,69.519,-32.227,25.513,-62.90,0.15,0.00,0.00,0.00,22.63
-0.225,-1.061,-0.465,79.651,-31.189,34.424,-62.90,0.15,0.00,0.00,0.00,22.63
-0.218,-1.057,-0.489,78.796,-28.076,42.908,-62.90,0.15,0.00,0.00,0.00,22.63
-0.219,-0.927,-0.500,69.580,-23.193,44.617,-62.90,0.15,0.00,0.00,0.00,22.63
-0.916,-0.452,-0.021,134.216,20.325,0.244,19.61,-19.61,19.61,1.28,4.37,2.88
