a1X,a1Y,a1Z,g1X,g1Y,g1Z,a2X,a2Y,a2Z,g2X,g2Y,g2Z
-1.104,-0.965,-0.435,66.895,-11.353,76.965,6.85,5.09,8.83,-3.06,-1.16,-1.06
-1.005,-0.869,-0.411,36.682,9.277,88.684,6.39,5.43,8.50,-2.73,-0.98,-0.93
-0.953,-0.984,-0.452,23.499,27.161,79.346,6.04,5.61,8.16,-2.20,-0.80,-0.87
-0.774,-0.741,-0.375,-29.053,59.814,40.222,5.84,5.89,8.09,-1.75,-0.70,-0.86
-0.676,-0.500,-0.298,-41.565,65.979,29.968,5.65,5.76,7.66,-1.44,-0.60,-0.97
-0.489,-0.386,-0.360,-20.020,64.758,21.179,5.52,5.43,7.30,-1.26,-0.41,-1.07
-0.383,-0.483,-0.406,5.249,55.237,35.706,5.62,4.57,7.14,-1.17,-0.34,-1.03
-0.556,-0.550,-0.493,20.447,25.330,42.542,5.72,3.96,6.99,-1.07,-0.28,-0.89
-0.656,-0.672,-0.600,25.818,18.311,40.100,6.19,3.71,7.38,-0.93,-0.27,-0.77
-0.709,-0.922,-0.609,17.761,16.357,30.945,6.62,3.74,7.83,-0.77,-0.20,-0.69
-0.684,-0.878,-0.629,0.427,15.991,19.653,6.99,3.74,8.31,-0.60,-0.11,-0.62
-0.551,-0.765,-0.547,-18.433,13.245,5.554,7.05,3.60,8.44,-0.45,-0.02,-0.54
-0.547,-0.709,-0.497,-22.949,7.568,0.854,6.88,3.54,8.37,-0.29,0.06,-0.41
-0.639,-0.568,-0.399,-20.935,-3.235,-4.822,6.54,3.85,8.18,-0.18,0.10,-0.27
-0.617,-0.647,-0.423,-8.972,-5.554,-2.441,6.36,4.01,8.15,-0.13,0.09,-0.13
-0.630,-0.677,-0.423,-2.869,-11.292,-0.427,6.17,4.03,8.08,-0.10,0.10,-0.01
-0.635,-0.661,-0.417,-4.089,-10.254,-2.625,5.99,4.01,7.93,-0.05,0.11,0.07
-0.638,-0.690,-0.454,-6.042,-7.935,-11.292,5.92,3.94,7.86,0.02,0.10,0.11
-0.641,-0.736,-0.460,-6.775,-6.470,-13.611,5.90,3.83,7.86,0.13,0.11,0.11
-0.611,-0.783,-0.489,-18.677,-2.625,-17.334,5.97,3.83,7.96,0.28,0.17,0.09
-0.625,-0.666,-0.434,-27.771,-2.319,-19.165,5.85,3.87,7.85,0.40,0.25,0.08
-0.662,-0.617,-0.392,-30.151,1.526,-32.837,5.67,4.14,7.74,0.48,0.23,0.07
-0.647,-0.678,-0.391,-22.339,2.625,-29.053,5.72,4.25,7.83,0.52,0.20,0.06
-0.698,-0.648,-0.422,-21.484,0.549,-23.437,5.77,4.42,7.91,0.52,0.20,0.08
-0.707,-0.729,-0.434,-17.029,-0.244,-19.897,5.87,4.44,7.94,0.53,0.20,0.08
-0.619,-0.871,-0.546,-23.071,1.465,-13.123,6.15,4.33,8.19,0.58,0.27,0.07
-0.563,-0.905,-0.579,-31.372,-1.221,-12.939,6.44,4.10,8.47,0.63,0.39,0.10
-0.832,-0.429,-0.244,-63.721,-5.127,-32.043,5.80,4.38,7.71,0.74,0.49,0.16
-0.769,-0.554,-0.344,-56.580,2.258,-46.326,5.68,4.81,7.76,0.78,0.37,0.10
-0.638,-0.709,-0.415,-34.363,4.822,-28.442,5.85,4.82,7.98,0.75,0.34,0.08
-0.601,-0.656,-0.436,-35.645,2.502,-24.353,5.91,4.63,7.98,0.71,0.35,0.09
-0.581,-0.715,-0.518,-31.433,-6.897,-19.775,6.18,4.43,8.14,0.69,0.39,0.15
-0.562,-0.771,-0.539,-27.100,-12.146,-11.841,6.41,4.16,8.25,0.67,0.55,0.27
-0.851,-0.389,-0.200,-42.480,-17.700,-16.785,5.75,4.39,7.45,0.74,0.67,0.37
-0.909,-0.443,-0.241,-41.321,-10.803,-33.142,5.43,5.11,7.27,0.79,0.55,0.34
-0.733,-0.706,-0.375,-18.433,2.686,-26.978,5.60,5.30,7.51,0.76,0.43,0.24
-0.684,-0.685,-0.382,-22.522,2.014,-24.231,5.63,5.18,7.54,0.73,0.39,0.20
