timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1155960,-1,0.74,0.52,-24.84,33.14,16.17
1155968,-0.89,0.87,0.56,-34.67,60.06,15.14
1155977,-0.73,0.91,0.76,-15.93,82.95,10.19
1155986,-0.47,0.99,0.95,9.4,92.04,6.9
1155994,-0.31,0.91,1.18,46.88,92.16,7.45
1156002,-0.38,0.77,1.3,92.59,83.98,13
1156011,-0.47,0.72,1.26,128.66,67.08,17.7
1156020,-0.48,0.7,1.1,144.71,45.47,23.8
1156028,-0.58,0.65,0.87,144.84,32.65,33.39
1156037,-0.71,0.59,0.61,124.51,33.57,42.54
1156045,-0.69,0.51,0.4,79.59,47.06,49.8
1156054,-0.93,0.52,0.42,35.77,66.96,58.96
1156062,-1.02,0.48,0.78,4.39,86.61,67.2
1156071,-0.81,0.48,0.97,12.02,106.2,81.3
1156080,-0.44,0.56,1.06,45.72,112.3,98.69
1156088,-0.41,0.5,1,75.56,100.52,112.37
1156097,-0.88,0.3,0.77,72.33,79.65,124.88
1156105,-0.14,0.46,0.78,45.9,57.92,141.48
1156114,0.6,0.48,0.69,24.78,30.15,161.32
1156122,0.49,0.23,0.82,-8.97,-9.4,185
1156131,0.29,0.05,1.07,-23.74,-53.22,210.45
1156139,-0.32,0.42,0.88,-41.63,-97.53,231.26
1156148,0.12,1.05,0.88,-235.96,-134.09,297.3
1156157,0.64,2.06,1.36,-506.65,-162.41,389.95
1156165,0.43,2.23,1.35,-462.83,-177.92,479.98
1156174,1.02,2.38,0.74,-99.67,-184.08,560.67
1156182,0.96,1.17,0.63,57.25,-190.8,636.47
1156191,0.9,-0.11,0.34,162.6,-205.38,651.43
1156199,1.02,-0.86,0.12,234.13,-211,603.33
1156208,0.54,-1.49,0.43,279.66,-216.25,519.78
1156217,0.23,-1.64,0.3,347.47,-218.32,412.6
1156225,-0.22,-1.22,-0.11,402.28,-217.83,283.08
1156234,-0.81,-0.12,-0.22,405.82,-202.51,169.86
1156242,-1.19,0.72,-0.06,435.97,-170.47,106.75
1156251,-1.67,0.54,-0.1,465.52,-141.97,98.82
1156259,-1.77,-0.05,-0.36,360.53,-117.43,117.8
1156268,-1.4,-0.43,-0.45,157.9,-79.53,121.52
1156276,-0.96,-0.82,-0.43,34.18,-42.97,100.28
1156285,-0.26,-0.78,0.31,-22.22,-20.63,63.48
1156294,-0.55,-0.91,0.48,24.11,-38.39,20.81
1156302,-0.93,-0.66,0.2,-0.92,-56.88,-11.6
1156311,-1.05,-0.51,-0.31,-15.69,-70.31,-33.08
1156319,-1.65,-0.66,-0.96,-109.19,-53.22,-52.8
