timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
4198556,-0.63,-0.59,0.45,-128.42,39.06,110.17
4198564,-0.91,-0.78,0.43,-116.09,20.14,112.79
4198573,-0.80,-0.79,0.54,-89.23,4.15,104.92
4198582,-1.13,-1.04,0.34,-79.71,-9.83,90.88
4198590,-0.99,-0.95,0.65,-47.18,-16.66,66.89
4198599,-1.03,-0.97,0.29,-35.40,-20.45,43.03
4198607,-0.92,-0.52,0.37,-34.12,-21.85,20.63
4198616,-0.82,-0.62,0.48,-32.35,-21.36,11.96
4198624,-0.86,-0.65,0.43,-18.25,-28.38,10.56
4198633,-0.84,-0.87,0.44,5.31,-40.71,8.48
4198641,-0.84,-1.00,0.47,23.38,-58.17,1.65
4198650,-0.78,-0.98,0.27,28.63,-77.51,-11.84
4198659,-0.79,-0.76,0.20,24.48,-90.88,-26.37
4198667,-0.80,-0.78,0.02,29.11,-94.30,-35.28
4198676,-0.81,-0.81,0.01,32.41,-90.82,-43.52
4198684,-0.79,-0.73,0.07,43.82,-81.54,-53.10
4198693,-0.76,-0.72,0.16,47.18,-74.65,-59.20
4198701,-0.74,-0.61,0.11,50.66,-74.16,-63.66
4198710,-0.71,-0.56,0.09,46.14,-72.39,-63.60
4198719,-0.75,-0.59,0.01,57.07,-64.21,-61.04
4198727,-0.88,-0.68,-0.06,67.87,-54.44,-61.22
4198736,-0.95,-0.81,-0.15,73.73,-44.25,-65.31
4198744,-0.78,-0.71,-0.04,76.90,-30.82,-76.48
4198753,-0.93,-0.53,-0.30,54.44,-18.98,-84.11
4198761,-0.73,-0.36,-0.19,52.67,-7.08,-82.03
4198770,-0.64,-0.38,-0.30,53.53,5.25,-73.91
4198778,-0.58,-0.19,-0.29,55.36,18.01,-60.36
4198787,-0.63,-0.42,-0.62,60.55,24.41,-37.41
4198795,-0.66,-0.55,-0.45,63.66,32.65,-19.04
4198804,-0.75,-0.59,-0.49,60.30,41.99,-8.73
4198813,-0.74,-0.54,-0.47,45.65,50.05,-2.69
4198821,-0.74,-0.31,-0.44,31.68,60.49,3.91
4198829,-0.75,-0.12,-0.30,15.93,76.66,19.10
4198838,-0.59,-0.28,-0.32,5.55,95.52,41.44
4198847,-0.53,-0.28,-0.31,-5.55,109.19,63.23
4198855,-0.42,-0.40,-0.26,-24.96,120.06,84.35
4198864,-0.49,-0.68,0.04,-40.59,124.15,101.75
4198872,-0.66,-1.03,0.23,-49.01,112.18,105.59
4198881,-0.85,-1.14,0.33,-46.88,83.25,92.16
4198889,-0.87,-0.95,0.23,-60.73,49.19,70.43
4198898,-0.76,-0.54,0.32,-85.14,23.13,57.37
4198907,-0.68,-0.46,0.32,-94.67,3.48,61.10
4198915,-0.76,-0.55,0.16,-89.05,-12.21,69.03
4198924,-0.85,-0.61,0.17,-92.16,-24.48,72.81
4198933,-0.95,-0.73,0.01,-91.06,-30.88,70.86
4198941,-0.94,-0.56,0.29,-89.05,-25.57,61.10
4198950,-0.94,-0.67,0.40,-83.80,-20.02,55.30
4198958,-0.94,-0.67,0.44,-74.58,-24.96,48.34
4198967,-0.87,-0.57,0.59,-73.30,-29.48,39.06
4198975,-0.85,-0.58,0.39,-52.43,-41.50,36.50
4198984,-0.86,-0.74,0.40,-36.68,-55.79,34.97
4198993,-0.82,-0.90,0.23,-21.06,-71.11,30.52
4199001,-0.80,-0.88,0.18,-26.37,-85.69,20.94
4199010,-0.83,-0.87,0.01,-23.99,-96.56,10.44
4199018,-0.84,-0.84,-0.08,-16.42,-94.60,-0.43
4199027,-0.91,-0.84,0.04,-6.53,-81.30,-10.13
4199035,-0.84,-1.00,0.28,6.16,-69.46,-22.58
4199044,-0.95,-0.98,0.47,23.44,-70.25,-38.27
4199052,-0.85,-1.01,0.39,47.61,-75.62,-57.68
4199061,-0.69,-0.83,0.09,67.14,-82.40,-77.51
4199070,-0.73,-0.56,-0.03,62.87,-83.74,-89.11
4199078,-0.80,-0.66,0.02,68.18,-73.49,-90.76
4199087,-0.73,-0.46,-0.03,86.43,-56.03,-92.83
4199095,-0.93,-0.57,-0.08,91.43,-40.71,-90.45
4199103,-0.76,-0.71,0.05,104.43,-24.17,-92.04
4199112,-0.79,-0.48,0.08,87.59,-10.80,-97.84
4199121,-0.55,-0.15,0.21,84.96,-3.85,-93.51
4199129,-0.62,0.05,0.11,126.59,-1.59,-77.21
4199138,-0.67,-0.41,-0.80,218.81,-0.06,-52.19
4199147,-0.61,-0.26,-0.58,113.04,5.98,-28.20
4199155,-0.82,-0.61,-1.50,147.89,21.85,-13.37
