timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
888744,-0.09,0.11,1.07,-7.02,79.83,36.80
888753,-0.08,0.10,1.17,-8.73,90.52,41.81
888761,-0.06,0.04,1.22,-2.08,100.59,45.17
888770,-0.03,-0.00,1.26,6.53,108.03,48.52
888778,0.08,-0.02,1.29,14.34,115.48,53.77
888788,0.23,-0.06,1.32,27.65,121.46,60.24
888796,0.39,-0.29,1.15,52.37,123.47,67.50
888804,0.45,-0.32,1.26,32.10,114.01,72.81
888813,0.45,-0.31,1.23,28.87,96.74,70.13
888821,0.33,-0.29,1.09,62.62,79.96,63.72
888830,0.16,-0.20,1.04,50.60,63.96,63.60
888839,0.08,-0.12,1.04,19.59,50.54,68.66
888847,0.16,-0.08,1.11,7.39,38.51,76.23
888856,0.26,-0.10,1.18,19.71,27.16,83.74
888865,0.30,-0.07,1.30,63.48,11.60,89.48
888873,0.24,-0.28,1.01,133.97,-7.51,90.39
888881,0.12,-0.37,0.78,175.72,-26.92,93.57
888890,0.03,-0.36,0.64,189.21,-44.80,101.26
888899,0.14,-0.39,0.55,167.72,-57.56,108.52
888907,0.22,-0.48,0.53,137.02,-59.51,115.42
888916,0.18,-0.45,0.55,107.54,-53.22,123.17
888924,0.25,-0.41,0.61,100.89,-50.05,125.49
888933,0.22,-0.39,0.60,100.22,-56.27,120.18
888941,0.11,-0.03,0.33,40.95,-67.57,119.26
888950,0.43,0.42,0.66,-115.84,-93.63,124.33
888958,0.52,-0.13,0.96,-66.83,-119.75,126.28
888967,0.69,-0.26,0.93,7.14,-140.81,134.89
888976,1.01,-0.19,0.86,-19.41,-164.49,124.39
888984,0.97,-0.08,0.74,-54.63,-178.16,103.88
888993,0.81,0.12,0.72,-125.73,-183.11,95.03
889001,0.61,0.21,0.74,-114.38,-177.73,88.20
889010,0.14,0.30,0.71,-76.42,-168.64,76.90
889019,-0.01,0.38,0.71,-92.47,-157.71,78.74
889027,0.12,0.37,0.71,-78.92,-138.12,83.80
889035,0.14,0.29,0.63,-74.22,-117.31,84.23
889044,0.14,0.21,0.71,-96.86,-94.97,80.87
889053,0.18,0.27,0.85,-90.21,-70.43,69.52
889062,0.24,0.33,0.93,-50.35,-48.95,55.48
889070,0.13,0.30,0.89,-20.02,-38.39,46.75
889078,0.21,0.29,0.84,-82.95,-37.66,47.85
889087,0.05,0.31,1.10,-160.95,-46.14,51.64
889096,-0.07,0.33,0.94,-137.70,-45.35,46.02
889104,0.02,0.37,0.90,-154.05,-39.37,40.89
889113,0.11,0.33,0.86,-135.19,-30.58,34.30
889121,0.22,0.29,0.82,-123.84,-23.25,27.04
889130,0.24,0.26,0.80,-122.80,-20.26,18.49
