accX,accY,accZ,gyrX,gyrY,gyrZ
-0.69,0.74,-1.51,-45.53,-0.31,451.90
-0.69,0.74,-1.51,-45.53,-0.31,451.90
-0.66,0.85,-1.49,-85.63,-51.76,472.35
-0.65,1.22,-1.52,-138.12,-87.95,478.52
-0.65,1.22,-1.52,-138.12,-87.95,478.52
-0.52,1.34,-1.52,-191.77,-118.84,465.09
-0.52,1.34,-1.52,-191.77,-118.84,433.84
-0.44,1.59,-1.53,-231.26,-156.98,435.61
-0.51,1.69,-1.49,-236.88,-211.85,405.27
-0.51,1.69,-1.49,-236.88,-211.85,405.27
-0.68,1.67,-1.29,-202.27,-277.77,381.16
-0.68,1.67,-1.29,-202.27,-340.27,364.81
-0.84,1.67,-0.96,-151.37,-339.11,364.81
-1.01,1.62,-0.60,-102.66,-384.09,343.14
-1.01,1.62,-0.60,-102.66,-384.09,343.14
-1.01,1.51,-0.45,-65.98,-399.35,310.49
-1.01,1.51,-0.45,-19.10,-393.98,272.34
-0.90,1.39,-0.60,-28.75,-393.98,272.34
-0.78,1.25,-0.80,-13.79,-389.16,234.13
-0.78,1.25,-0.80,-13.79,-389.16,234.13
-0.70,1.21,-0.95,-11.66,-394.78,202.51
-0.70,1.21,-0.95,-8.61,-411.87,174.38
-0.75,1.21,-0.88,-8.61,-411.87,174.38
-0.76,1.29,-0.76,-12.33,-421.57,141.17
-0.76,1.29,-0.76,-12.33,-421.57,141.17
-0.74,1.26,-0.65,-3.54,-422.97,107.73
-0.74,1.26,-0.65,13.61,-421.08,74.16
-0.71,1.28,-0.63,13.61,-421.08,74.16
-0.66,1.29,-0.56,29.48,-409.55,41.02
-0.66,1.29,-0.56,29.48,-409.55,41.02
-0.64,1.34,-0.48,48.40,-393.25,7.32
-0.64,1.34,-0.48,48.40,-368.35,-29.36
-0.62,1.30,-0.41,65.25,-368.35,-29.36
-0.59,1.21,-0.31,79.16,-338.26,-66.47
-0.59,1.21,-0.31,79.16,-338.26,-66.47
-0.57,1.18,-0.17,97.84,-309.63,-92.65
-0.57,1.18,-0.17,120.61,-278.08,-112.61
-0.52,1.22,-0.07,120.61,-278.08,-112.61
-0.49,1.24,0.07,151.79,-245.79,-130.98
-0.49,1.24,0.07,151.79,-245.79,-130.98
-0.49,1.32,0.15,188.66,-211.24,-148.01
-0.49,1.32,0.15,204.28,-168.46,-168.52
-0.50,1.23,0.11,217.77,-168.46,-168.52
-0.48,1.20,0.13,230.53,-122.13,-186.77
-0.48,1.20,0.13,230.53,-122.13,-186.77
-0.50,1.15,0.15,241.27,-73.18,-196.41
-0.50,1.15,0.15,241.27,-73.18,-196.41
