accX,accY,accZ,gyrX,gyrY,gyrZ
0.17,1.11,-1.51,-69.52,27.53,109.68
0.17,1.11,-1.51,-69.52,27.53,109.68
0.16,1.12,-1.54,-82.28,-37.54,106.32
0.16,1.09,-1.42,-84.05,-115.30,105.59
-0.01,1.06,-1.42,-84.05,-115.30,105.59
-0.10,0.96,-1.29,-85.51,-176.94,102.66
-0.10,0.96,-1.29,-85.51,-176.94,102.66
-0.23,0.98,-1.05,-93.20,-221.92,101.50
-0.36,0.89,-0.95,-84.72,-259.34,107.60
-0.36,0.89,-0.95,-84.72,-259.34,107.60
-0.40,0.83,-0.97,-66.41,-289.55,119.26
-0.40,0.83,-0.97,-66.41,-289.55,119.26
-0.45,0.87,-0.98,-53.34,-330.14,134.89
-0.58,0.88,-0.73,-46.45,-375.18,146.67
-0.58,0.88,-0.73,-46.45,-375.18,146.67
-0.67,1.02,-0.45,-43.09,-396.55,156.80
-0.67,1.02,-0.45,-43.09,-396.55,156.80
-0.64,1.14,-0.37,-35.95,-394.71,160.03
-0.65,1.31,-0.31,-54.26,-388.79,147.09
-0.65,1.31,-0.31,-54.26,-388.79,147.09
-0.62,1.45,-0.24,-64.94,-384.34,128.17
-0.62,1.45,-0.24,-64.94,-384.34,128.17
-0.62,1.52,-0.10,-73.18,-383.79,104.74
-0.74,1.53,0.06,-76.23,-386.66,74.52
-0.74,1.53,0.06,-76.23,-386.66,74.52
-0.80,1.58,0.29,-83.50,-374.88,38.02
-0.80,1.58,0.29,-83.50,-374.88,38.02
-0.87,1.54,0.43,-80.38,-341.67,5.13
-0.88,1.49,0.53,-77.33,-292.30,-22.22
-0.88,1.49,0.53,-77.33,-292.30,-22.22
-0.83,1.46,0.53,-75.74,-232.97,-46.45
-0.83,1.46,0.53,-75.74,-232.97,-77.70
-0.78,1.37,0.45,-69.64,-175.78,-68.12
-0.72,1.23,0.33,-55.18,-129.52,-82.70
-0.72,1.23,0.33,-55.18,-129.52,-82.70
-0.66,1.09,0.19,-41.08,-93.81,-89.23
-0.66,1.09,0.19,-41.08,-93.81,-89.48
-0.61,1.07,0.14,-32.71,-66.41,-89.48
-0.58,1.09,0.14,-17.58,-45.41,-86.00
-0.58,1.09,0.14,-17.58,-45.41,-86.00
-0.54,1.05,0.14,4.82,-23.62,-83.86
-0.54,1.05,0.14,4.82,-23.62,-82.34
-0.49,0.99,0.15,27.53,-1.59,-82.34
-0.41,0.96,0.19,49.80,18.43,-79.41
-0.41,0.96,0.19,49.80,18.43,-79.41
-0.40,0.93,0.22,73.97,35.46,-75.07
-0.40,0.93,0.22,73.97,35.46,-75.07
-0.37,0.80,0.16,99.06,57.01,-72.39
-0.37,0.80,0.16,105.71,83.19,-69.21
-0.31,0.74,0.06,105.71,83.19,-69.21
-0.27,0.72,0.02,100.65,103.70,-62.87
-0.27,0.72,0.02,100.65,103.70,-62.87
-0.25,0.72,0.01,93.93,116.52,-56.15
-0.25,0.72,0.01,93.93,116.52,-56.15
-0.24,0.76,0.03,89.84,125.73,-48.77
-0.24,0.79,0.06,93.51,131.71,-41.93
-0.25,0.80,0.06,93.51,131.71,-41.93
-0.25,0.79,0.05,105.59,135.13,-35.64
-0.25,0.79,0.05,105.59,135.13,-35.64
-0.24,0.79,0.00,118.41,139.34,-27.22
-0.24,0.79,0.00,118.41,144.10,-18.55
-0.22,0.81,-0.05,125.31,144.10,-18.55
-0.21,0.86,-0.06,126.53,147.71,-13.31
-0.21,0.86,-0.06,126.53,147.71,-13.31
-0.19,0.90,-0.08,125.31,151.73,-12.27
-0.19,0.90,-0.08,125.31,151.73,-16.36
-0.17,0.91,-0.12,119.26,157.78,-16.36
-0.15,0.89,-0.15,109.25,164.00,-24.11
-0.15,0.89,-0.15,109.25,164.00,-24.11
-0.15,0.86,-0.16,95.34,169.13,-33.39
-0.15,0.86,-0.16,95.34,169.13,-33.39
-0.16,0.83,-0.15,80.57,172.67,-40.83
-0.16,0.82,-0.19,68.54,176.51,-46.39
-0.16,0.82,-0.19,68.54,176.51,-46.39
-0.15,0.83,-0.25,55.54,180.18,-50.42
-0.15,0.83,-0.25,55.54,180.18,-50.42
-0.15,0.83,-0.32,40.59,181.52,-54.20
-0.15,0.78,-0.46,23.62,181.95,-57.25
-0.15,0.78,-0.46,23.62,181.95,-57.25
-0.09,0.72,-0.66,1.46,183.04,-58.72
-0.09,0.72,-0.66,1.46,183.04,-58.72
-0.03,0.70,-0.80,-26.73,175.23,-56.52
-0.03,0.72,-0.81,-52.37,154.72,-50.42
0.00,0.72,-0.81,-52.37,154.72,-50.42
0.03,0.76,-0.77,-70.98,131.29,-43.52
0.03,0.76,-0.77,-70.98,131.29,-43.52
0.05,0.81,-0.68,-80.81,109.31,-38.02
