timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1844367,-0.00,0.04,0.99,-0.12,1.16,-0.18
1844376,-0.00,0.04,0.99,0.00,0.92,-0.18
1844384,-0.01,0.04,0.99,0.12,0.73,-0.31
1844393,-0.01,0.04,0.99,0.49,0.49,-0.18
1844401,-0.01,0.04,0.99,0.55,0.49,-0.24
1844410,-0.02,0.03,0.99,0.61,0.31,-0.18
1844419,-0.02,0.03,0.99,0.67,0.43,-0.37
1844427,-0.02,0.03,0.99,0.79,0.31,-0.18
1844436,-0.02,0.03,0.98,0.92,0.18,-0.24
1844445,-0.02,0.02,0.98,0.98,0.55,-0.31
1844453,-0.02,0.02,0.98,0.85,0.61,-0.49
1844462,-0.02,0.02,0.98,0.79,0.73,-0.55
1844471,-0.03,0.02,0.98,0.85,0.73,-0.49
1844479,-0.03,0.02,0.98,0.79,0.67,-0.43
1844488,-0.03,0.02,0.98,0.67,0.79,-0.18
1844496,-0.03,0.02,0.98,0.49,0.98,0.00
1844505,-0.02,0.02,0.98,0.61,1.04,0.12
1844514,-0.02,0.01,0.98,0.43,1.04,0.12
1844522,-0.02,0.01,0.98,0.24,1.16,0.12
1844531,-0.02,0.01,0.98,0.18,1.34,0.00
1844539,-0.01,0.02,0.98,-0.06,1.28,0.00
1844548,-0.01,0.02,0.98,-0.12,1.22,-0.18
1844557,-0.00,0.02,0.99,-0.18,1.28,-0.06
1844565,-0.00,0.02,0.99,-0.18,1.16,-0.06
1844574,0.00,0.03,0.99,-0.06,1.16,-0.31
1844583,-0.00,0.03,0.99,-0.06,0.73,-0.37
1844591,-0.01,0.04,0.99,0.06,0.49,-0.61
1844600,-0.01,0.04,0.99,-0.06,0.43,-0.43
1844609,-0.01,0.04,0.99,0.18,0.37,-0.24
1844616,-0.02,0.04,0.99,0.37,0.49,-0.24
1844625,-0.02,0.03,0.99,0.61,0.49,-0.18
1844634,-0.02,0.03,0.98,0.73,0.43,-0.18
1844642,-0.02,0.02,0.98,0.73,0.43,-0.12
1844651,-0.02,0.02,0.98,0.85,0.61,-0.06
1844660,-0.02,0.02,0.98,0.85,0.67,-0.31
1844669,-0.02,0.02,0.98,0.85,0.67,-0.37
1844677,-0.02,0.02,0.98,0.73,0.73,-0.37
1844686,-0.03,0.02,0.98,0.85,0.73,-0.43
1844695,-0.03,0.02,0.98,0.73,0.85,-0.37
1844703,-0.03,0.02,0.98,0.61,0.85,-0.18
1844712,-0.03,0.02,0.98,0.49,1.04,0.00
1844720,-0.02,0.02,0.98,0.43,1.28,-0.18
1844729,-0.02,0.02,0.98,0.37,1.04,-0.18
1844737,-0.02,0.02,0.98,0.37,1.04,-0.18
1844746,-0.01,0.02,0.98,0.24,1.28,-0.24
1844755,-0.01,0.03,0.99,0.18,1.28,-0.12
1844764,-0.01,0.03,0.99,0.37,1.22,-0.24
1844772,-0.00,0.03,0.99,0.31,1.16,-0.31
1844781,0.00,0.02,0.99,0.49,0.73,-0.24
1844790,0.00,0.03,0.99,0.43,0.67,-0.37
1844798,-0.00,0.02,0.99,0.55,0.73,-0.55
1844807,-0.00,0.03,0.99,0.55,0.55,-0.55
